FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_DELAY,ARR_DELAY
2019-01-01,19930,1610,SEA,LAX,34.0,34.0
2019-01-01,19930,467,LAX,SEA,-6.0,-10.0
2019-01-01,19930,551,LAX,SEA,-9.0,-21.0
2019-01-01,19930,1007,LAX,SEA,-9.0,-11.0
2019-01-01,19930,1031,LAX,SEA,-7.0,-12.0
2019-01-01,19930,1033,LAX,SEA,28.0,30.0
2019-01-01,19930,1039,LAX,SEA,52.0,45.0
2019-01-01,19930,1041,LAX,SEA,-11.0,-10.0
2019-01-01,19930,1043,LAX,SEA,1.0,-7.0
2019-01-01,19930,1047,LAX,SEA,42.0,34.0
2019-01-01,19930,453,LAX,SEA,-2.0,-4.0
2019-01-01,19930,1736,SEA,LAX,0.0,-14.0
2019-01-01,19930,1754,SEA,LAX,-2.0,-17.0
2019-01-01,19930,1756,SEA,LAX,-4.0,-21.0
2019-01-01,19930,1760,SEA,LAX,4.0,-9.0
2019-01-01,19930,1774,SEA,LAX,-6.0,-19.0
2019-01-01,19930,1780,SEA,LAX,-8.0,-16.0
2019-01-01,19930,1781,LAX,SEA,70.0,71.0
2019-01-01,19930,1784,SEA,LAX,18.0,-7.0
2019-01-01,19930,1797,LAX,SEA,1.0,6.0
2019-01-01,19977,1822,LAX,SEA,-6.0,-18.0
2019-01-01,19930,1746,SEA,LAX,-6.0,-27.0
2019-01-01,19930,444,SEA,LAX,-4.0,-31.0
2019-01-01,19930,1013,LAX,SEA,-11.0,-7.0
2019-01-01,19930,432,SEA,LAX,-4.0,-22.0
2019-01-01,19790,128,SEA,LAX,-3.0,-18.0
2019-01-01,19790,129,LAX,SEA,1.0,-6.0
2019-01-01,19790,702,SEA,LAX,11.0,-5.0
2019-01-01,19790,1078,LAX,SEA,13.0,12.0
2019-01-01,19790,1181,LAX,SEA,-5.0,-17.0
2019-01-01,19790,1256,LAX,SEA,-8.0,-16.0
2019-01-01,19930,439,LAX,SEA,-10.0,4.0
2019-01-01,19790,1538,LAX,SEA,-2.0,-7.0
2019-01-01,19790,1574,SEA,LAX,-1.0,-18.0
2019-01-01,19790,1619,LAX,SEA,-3.0,-16.0
2019-01-01,19790,1665,SEA,LAX,-3.0,-22.0
2019-01-01,19790,1380,LAX,SEA,-1.0,4.0
2019-01-01,19790,2080,SEA,LAX,-6.0,-36.0
2019-01-01,19930,424,SEA,LAX,-2.0,-25.0
2019-01-01,19930,220,SEA,LAX,0.0,-12.0
2019-01-01,20304,5608,LAX,SEA,44.0,34.0
2019-01-01,20304,5475,LAX,SEA,49.0,33.0
2019-01-01,19930,428,SEA,LAX,-1.0,-27.0
2019-01-01,20304,5191,SEA,LAX,29.0,1.0
2019-01-01,19790,2266,SEA,LAX,-3.0,-9.0
2019-01-01,19790,2190,SEA,LAX,-3.0,-14.0
2019-01-01,20304,5384,SEA,LAX,29.0,1.0
2019-01-02,19930,1102,LAX,SEA,29.0,35.0
2019-01-02,19930,453,LAX,SEA,-8.0,-19.0
2019-01-02,19930,467,LAX,SEA,-5.0,-5.0
2019-01-02,19930,551,LAX,SEA,4.0,-5.0
2019-01-02,19930,1007,LAX,SEA,24.0,15.0
2019-01-02,19930,1013,LAX,SEA,8.0,18.0
2019-01-02,19930,1031,LAX,SEA,33.0,31.0
2019-01-02,19930,1033,LAX,SEA,9.0,2.0
2019-01-02,19930,1039,LAX,SEA,23.0,
2019-01-02,19930,1041,LAX,SEA,14.0,3.0
2019-01-02,19930,1043,LAX,SEA,-14.0,-25.0
2019-01-02,19930,1103,SEA,LAX,35.0,20.0
2019-01-02,19930,1047,LAX,SEA,-2.0,-10.0
2019-01-02,19930,1736,SEA,LAX,16.0,-4.0
2019-01-02,19930,1746,SEA,LAX,-7.0,-18.0
2019-01-02,19930,1754,SEA,LAX,-4.0,5.0
2019-01-02,19930,1756,SEA,LAX,2.0,0.0
2019-01-02,19930,1760,SEA,LAX,3.0,0.0
2019-01-02,19930,1774,SEA,LAX,-5.0,-11.0
2019-01-02,19930,1780,SEA,LAX,-7.0,-25.0
2019-01-02,19930,1781,LAX,SEA,6.0,9.0
2019-01-02,19930,1784,SEA,LAX,4.0,-5.0
2019-01-02,19930,1797,LAX,SEA,-4.0,23.0
2019-01-02,19930,444,SEA,LAX,64.0,65.0
2019-01-02,19930,1610,SEA,LAX,94.0,82.0
2019-01-02,19930,439,LAX,SEA,-1.0,-1.0
2019-01-02,19790,1652,SEA,LAX,76.0,74.0
2019-01-02,19930,428,SEA,LAX,-8.0,-16.0
2019-01-02,19977,2340,SEA,LAX,-7.0,-14.0
2019-01-02,19930,432,SEA,LAX,-2.0,-30.0
2019-01-02,19790,128,SEA,LAX,9.0,7.0
2019-01-02,19790,129,LAX,SEA,85.0,48.0
2019-01-02,19790,377,LAX,SEA,28.0,25.0
2019-01-02,19790,702,SEA,LAX,-3.0,-4.0
2019-01-02,19790,1098,SEA,LAX,0.0,-13.0
2019-01-02,19790,1181,LAX,SEA,-6.0,3.0
2019-01-02,19790,1256,LAX,SEA,173.0,168.0
2019-01-02,19790,1349,LAX,SEA,-4.0,-13.0
2019-01-02,19790,1380,LAX,SEA,-3.0,-16.0
2019-01-02,19790,1538,LAX,SEA,28.0,14.0
2019-01-02,19977,1822,LAX,SEA,35.0,27.0
2019-01-02,19930,424,SEA,LAX,-1.0,-23.0
2019-01-02,19790,1665,SEA,LAX,18.0,2.0
2019-01-02,19790,2190,SEA,LAX,1.0,-9.0
2019-01-02,19790,2266,SEA,LAX,67.0,64.0
2019-01-02,19790,2481,LAX,SEA,-4.0,-2.0
2019-01-02,20304,5191,SEA,LAX,-2.0,10.0
2019-01-02,20304,5384,SEA,LAX,10.0,2.0
2019-01-02,20304,5475,LAX,SEA,-3.0,-29.0
2019-01-02,20304,5608,LAX,SEA,-4.0,-7.0
2019-01-02,19930,220,SEA,LAX,-5.0,-5.0
2019-01-02,19790,1574,SEA,LAX,-3.0,-13.0
2019-01-03,19930,1610,SEA,LAX,0.0,3.0
2019-01-03,19930,1047,LAX,SEA,16.0,-10.0
2019-01-03,19930,1043,LAX,SEA,94.0,104.0
2019-01-03,19930,1041,LAX,SEA,-7.0,-20.0
2019-01-03,20304,5608,LAX,SEA,-1.0,8.0
2019-01-03,19930,1033,LAX,SEA,-4.0,6.0
2019-01-03,19930,1031,LAX,SEA,3.0,2.0
2019-01-03,19930,1013,LAX,SEA,-11.0,8.0
2019-01-03,19930,1736,SEA,LAX,11.0,11.0
2019-01-03,19930,1007,LAX,SEA,-4.0,-15.0
2019-01-03,19930,1039,LAX,SEA,-8.0,-19.0
2019-01-03,19930,1746,SEA,LAX,90.0,88.0
2019-01-03,19930,1781,LAX,SEA,-10.0,7.0
2019-01-03,19930,1756,SEA,LAX,25.0,12.0
2019-01-03,19930,1760,SEA,LAX,,
2019-01-03,19930,1774,SEA,LAX,-3.0,-7.0
2019-01-03,19930,1780,SEA,LAX,-5.0,-9.0
2019-01-03,19930,1784,SEA,LAX,-5.0,-13.0
2019-01-03,19930,1797,LAX,SEA,0.0,-12.0
2019-01-03,20304,5191,SEA,LAX,-2.0,-8.0
2019-01-03,20304,5384,SEA,LAX,-1.0,-10.0
2019-01-03,20304,5475,LAX,SEA,-8.0,-34.0
2019-01-03,19930,551,LAX,SEA,-4.0,-19.0
2019-01-03,19930,1754,SEA,LAX,-1.0,2.0
2019-01-03,19930,467,LAX,SEA,-4.0,-20.0
2019-01-03,19790,2266,SEA,LAX,-8.0,-10.0
2019-01-03,19930,444,SEA,LAX,-2.0,-12.0
2019-01-03,19930,453,LAX,SEA,-7.0,-13.0
2019-01-03,19790,128,SEA,LAX,-4.0,-5.0
2019-01-03,19790,129,LAX,SEA,-7.0,-40.0
2019-01-03,19790,377,LAX,SEA,0.0,6.0
2019-01-03,19790,702,SEA,LAX,-3.0,-5.0
2019-01-03,19790,1098,SEA,LAX,0.0,-9.0
2019-01-03,19790,1256,LAX,SEA,-1.0,-20.0
2019-01-03,19790,1349,LAX,SEA,0.0,-27.0
2019-01-03,19790,1380,LAX,SEA,-2.0,-20.0
2019-01-03,19790,1538,LAX,SEA,-1.0,-15.0
2019-01-03,19790,1574,SEA,LAX,-3.0,0.0
2019-01-03,19790,1181,LAX,SEA,-4.0,-29.0
2019-01-03,19790,1665,SEA,LAX,-3.0,-14.0
2019-01-03,19790,1652,SEA,LAX,-4.0,-2.0
2019-01-03,19930,432,SEA,LAX,-5.0,-11.0
2019-01-03,19930,428,SEA,LAX,-4.0,-16.0
2019-01-03,19930,424,SEA,LAX,25.0,21.0
2019-01-03,19930,220,SEA,LAX,-2.0,-15.0
2019-01-03,19930,439,LAX,SEA,-5.0,-10.0
2019-01-03,19977,2340,SEA,LAX,-5.0,-15.0
2019-01-03,19790,2190,SEA,LAX,0.0,-7.0
2019-01-03,19790,1906,LAX,SEA,-2.0,-29.0
2019-01-03,19977,1822,LAX,SEA,-6.0,-22.0
2019-01-04,19930,1043,LAX,SEA,-4.0,-20.0
2019-01-04,19930,453,LAX,SEA,-11.0,3.0
2019-01-04,19930,467,LAX,SEA,-3.0,-17.0
2019-01-04,19930,551,LAX,SEA,-6.0,-21.0
2019-01-04,19930,1007,LAX,SEA,-6.0,-18.0
2019-01-04,19930,1013,LAX,SEA,-8.0,-13.0
2019-01-04,19930,1031,LAX,SEA,-2.0,12.0
2019-01-04,19930,1033,LAX,SEA,,
2019-01-04,19930,1039,LAX,SEA,-3.0,-29.0
2019-01-04,19930,1041,LAX,SEA,2.0,-13.0
2019-01-04,19930,1047,LAX,SEA,-8.0,-33.0
2019-01-04,19930,444,SEA,LAX,-1.0,-9.0
2019-01-04,19930,1736,SEA,LAX,3.0,19.0
2019-01-04,19930,1746,SEA,LAX,4.0,17.0
2019-01-04,19930,1754,SEA,LAX,-10.0,21.0
2019-01-04,19930,1756,SEA,LAX,-5.0,7.0
2019-01-04,19930,1760,SEA,LAX,-7.0,10.0
2019-01-04,19930,1774,SEA,LAX,-1.0,10.0
2019-01-04,19930,1780,SEA,LAX,-6.0,-7.0
2019-01-04,19930,1781,LAX,SEA,6.0,3.0
2019-01-04,19930,1784,SEA,LAX,-10.0,-8.0
2019-01-04,19930,1797,LAX,SEA,-11.0,-31.0
2019-01-04,19930,1610,SEA,LAX,-2.0,16.0
2019-01-04,19930,439,LAX,SEA,-8.0,-18.0
2019-01-04,19977,2340,SEA,LAX,-7.0,-5.0
2019-01-04,19930,424,SEA,LAX,-3.0,-7.0
2019-01-04,19930,432,SEA,LAX,-1.0,-6.0
2019-01-04,19977,1822,LAX,SEA,8.0,-28.0
2019-01-04,19790,2266,SEA,LAX,-6.0,-1.0
2019-01-04,19790,128,SEA,LAX,-7.0,-10.0
2019-01-04,19790,129,LAX,SEA,-4.0,-47.0
2019-01-04,19790,377,LAX,SEA,-1.0,7.0
2019-01-04,19790,702,SEA,LAX,-3.0,1.0
2019-01-04,19790,1098,SEA,LAX,-1.0,-3.0
2019-01-04,19790,1181,LAX,SEA,-5.0,-28.0
2019-01-04,19790,1256,LAX,SEA,1.0,-24.0
2019-01-04,19790,1349,LAX,SEA,-2.0,-33.0
2019-01-04,19790,2190,SEA,LAX,-10.0,-7.0
2019-01-04,19790,1538,LAX,SEA,-4.0,-23.0
2019-01-04,19790,1380,LAX,SEA,2.0,-21.0
2019-01-04,19930,220,SEA,LAX,2.0,-4.0
2019-01-04,20304,5475,LAX,SEA,-5.0,-54.0
2019-01-04,20304,5384,SEA,LAX,-5.0,-6.0
2019-01-04,20304,5608,LAX,SEA,-3.0,-10.0
2019-01-04,19790,1906,LAX,SEA,-4.0,-5.0
2019-01-04,19790,1665,SEA,LAX,-3.0,-5.0
2019-01-04,19790,1652,SEA,LAX,-5.0,-6.0
2019-01-04,19790,1574,SEA,LAX,-5.0,5.0
2019-01-04,20304,5191,SEA,LAX,-11.0,6.0
2019-01-05,19930,1756,SEA,LAX,-3.0,20.0
2019-01-05,19977,2340,SEA,LAX,-8.0,14.0
2019-01-05,19930,1774,SEA,LAX,-4.0,33.0
2019-01-05,19930,1780,SEA,LAX,-7.0,23.0
2019-01-05,19930,1781,LAX,SEA,37.0,10.0
2019-01-05,19930,1784,SEA,LAX,-5.0,28.0
2019-01-05,19930,1797,LAX,SEA,-5.0,6.0
2019-01-05,19977,1822,LAX,SEA,-3.0,-16.0
2019-01-05,19790,2264,LAX,SEA,-2.0,-28.0
2019-01-05,19790,129,LAX,SEA,3.0,-24.0
2019-01-05,19790,905,LAX,SEA,-2.0,-20.0
2019-01-05,19790,2107,SEA,LAX,11.0,38.0
2019-01-05,19790,2240,SEA,LAX,0.0,19.0
2019-01-05,19790,2377,SEA,LAX,2.0,14.0
2019-01-05,19790,2414,LAX,SEA,0.0,-10.0
2019-01-05,19790,2432,LAX,SEA,-4.0,-1.0
2019-01-05,19930,1746,SEA,LAX,71.0,98.0
2019-01-05,19790,128,SEA,LAX,17.0,48.0
2019-01-05,19930,1736,SEA,LAX,2.0,23.0
2019-01-05,19930,1041,LAX,SEA,7.0,-23.0
2019-01-05,20304,5608,LAX,SEA,-7.0,-34.0
2019-01-05,19930,1043,LAX,SEA,-4.0,-9.0
2019-01-05,19790,2627,SEA,LAX,-5.0,25.0
2019-01-05,20304,5191,SEA,LAX,3.0,12.0
2019-01-05,20304,5384,SEA,LAX,-3.0,17.0
2019-01-05,20304,5475,LAX,SEA,-4.0,-54.0
2019-01-05,19930,220,SEA,LAX,-1.0,2.0
2019-01-05,19930,410,SEA,LAX,-8.0,1.0
2019-01-05,19930,431,LAX,SEA,31.0,8.0
2019-01-05,19930,424,SEA,LAX,0.0,18.0
2019-01-05,19930,444,SEA,LAX,14.0,55.0
2019-01-05,19930,447,LAX,SEA,66.0,37.0
2019-01-05,19930,454,SEA,LAX,34.0,40.0
2019-01-05,19930,467,LAX,SEA,10.0,-2.0
2019-01-05,19930,1007,LAX,SEA,10.0,-17.0
2019-01-05,19930,1013,LAX,SEA,-6.0,-20.0
2019-01-05,19930,1033,LAX,SEA,8.0,-25.0
2019-01-05,19930,439,LAX,SEA,-8.0,-20.0
2019-01-06,19930,1031,LAX,SEA,71.0,77.0
2019-01-06,19930,1039,LAX,SEA,-7.0,-18.0
2019-01-06,19930,1033,LAX,SEA,41.0,37.0
