FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
4/1/2019 12:00:00 AM,19805,305,MIA,"Miami, FL",SEA,"Seattle, WA",1958,2026,28.00,20.00,8.00,2348,2354,6.00,0.00,,0.00,,,,,
4/1/2019 12:00:00 AM,19805,368,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",1455,1451,-4.00,24.00,7.00,1719,1723,4.00,0.00,,0.00,,,,,
4/1/2019 12:00:00 AM,19805,1315,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",1640,1640,0.00,16.00,8.00,1905,1903,-2.00,0.00,,0.00,,,,,
4/1/2019 12:00:00 AM,19805,1318,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",1910,1907,-3.00,24.00,9.00,2144,2135,-9.00,0.00,,0.00,,,,,
4/1/2019 12:00:00 AM,19805,1319,SEA,"Seattle, WA",DFW,"Dallas/Fort Worth, TX",0732,0730,-2.00,15.00,12.00,1327,1306,-21.00,0.00,,0.00,,,,,
4/1/2019 12:00:00 AM,19805,1681,PHX,"Phoenix, AZ",SEA,"Seattle, WA",2032,2028,-4.00,19.00,11.00,2344,2329,-15.00,0.00,,0.00,,,,,
4/1/2019 12:00:00 AM,20368,1002,OAK,"Oakland, CA",BLI,"Bellingham, WA",1118,1222,64.00,11.00,7.00,1322,1415,53.00,0.00,,0.00,53.00,0.00,0.00,0.00,0.00
4/1/2019 12:00:00 AM,20368,710,BLI,"Bellingham, WA",LAS,"Las Vegas, NV",0700,0655,-5.00,10.00,8.00,0929,0925,-4.00,0.00,,0.00,,,,,
4/1/2019 12:00:00 AM,20368,712,BLI,"Bellingham, WA",LAS,"Las Vegas, NV",1334,1314,-20.00,11.00,7.00,1603,1548,-15.00,0.00,,0.00,,,,,
4/1/2019 12:00:00 AM,20368,1003,BLI,"Bellingham, WA",OAK,"Oakland, CA",1407,1512,65.00,11.00,7.00,1614,1720,66.00,0.00,,0.00,12.00,0.00,1.00,0.00,53.00
4/1/2019 12:00:00 AM,20368,179,PSC,"Pasco/Kennewick/Richland, WA",LAS,"Las Vegas, NV",2041,2206,85.00,14.00,4.00,2244,0012,88.00,0.00,,0.00,85.00,0.00,3.00,0.00,0.00
4/1/2019 12:00:00 AM,20368,178,LAS,"Las Vegas, NV",PSC,"Pasco/Kennewick/Richland, WA",1743,1728,-15.00,9.00,5.00,1956,1935,-21.00,0.00,,0.00,,,,,
4/1/2019 12:00:00 AM,19805,1540,SEA,"Seattle, WA",ORD,"Chicago, IL",0506,0504,-2.00,16.00,10.00,1112,1056,-16.00,0.00,,0.00,,,,,
4/1/2019 12:00:00 AM,19805,699,PHX,"Phoenix, AZ",GEG,"Spokane, WA",2015,2010,-5.00,12.00,4.00,2257,2243,-14.00,0.00,,0.00,,,,,
4/1/2019 12:00:00 AM,19805,710,PHX,"Phoenix, AZ",SEA,"Seattle, WA",1032,1029,-3.00,17.00,7.00,1349,1327,-22.00,0.00,,0.00,,,,,
4/1/2019 12:00:00 AM,19805,751,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",2220,2221,1.00,11.00,5.00,0044,0024,-20.00,0.00,,0.00,,,,,
