FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2/1/2019 12:00:00 AM,19805,489,PHX,"Phoenix, AZ",SEA,"Seattle, WA",1501,1516,15.00,19.00,9.00,1712,1721,9.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19805,489,SEA,"Seattle, WA",PHX,"Phoenix, AZ",1804,1824,20.00,23.00,9.00,2155,2232,37.00,0.00,,0.00,13.00,0.00,17.00,0.00,7.00
2/1/2019 12:00:00 AM,19805,500,SEA,"Seattle, WA",PHX,"Phoenix, AZ",1444,1834,230.00,20.00,8.00,1833,2227,234.00,0.00,,0.00,0.00,0.00,4.00,0.00,230.00
2/1/2019 12:00:00 AM,19805,2286,JFK,"New York, NY",SEA,"Seattle, WA",1921,1935,14.00,20.00,12.00,2254,2259,5.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19805,2024,PHL,"Philadelphia, PA",SEA,"Seattle, WA",0800,0758,-2.00,22.00,11.00,1121,1123,2.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19805,2024,SEA,"Seattle, WA",PHL,"Philadelphia, PA",1221,,,,,2030,,,1.00,A,0.00,,,,,
2/1/2019 12:00:00 AM,19805,2062,CLT,"Charlotte, NC",SEA,"Seattle, WA",1639,1759,80.00,18.00,10.00,1947,2041,54.00,0.00,,0.00,47.00,0.00,0.00,0.00,7.00
2/1/2019 12:00:00 AM,19805,2076,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",0910,0903,-7.00,21.00,12.00,1145,1122,-23.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19805,2076,SEA,"Seattle, WA",DFW,"Dallas/Fort Worth, TX",1304,1256,-8.00,20.00,15.00,1900,1857,-3.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,20368,711,LAS,"Las Vegas, NV",BLI,"Bellingham, WA",1824,1846,22.00,11.00,7.00,2108,2110,2.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,20368,178,LAS,"Las Vegas, NV",PSC,"Pasco/Kennewick/Richland, WA",0720,0712,-8.00,17.00,6.00,0941,0929,-12.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,20368,713,LAS,"Las Vegas, NV",BLI,"Bellingham, WA",1141,1144,3.00,17.00,4.00,1425,1415,-10.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,20436,2026,GEG,"Spokane, WA",LAS,"Las Vegas, NV",1641,1714,33.00,14.00,9.00,1856,1929,33.00,0.00,,0.00,0.00,0.00,0.00,0.00,33.00
2/1/2019 12:00:00 AM,20436,2027,LAS,"Las Vegas, NV",GEG,"Spokane, WA",1323,1416,53.00,23.00,6.00,1551,1631,40.00,0.00,,0.00,40.00,0.00,0.00,0.00,0.00
2/1/2019 12:00:00 AM,20436,145,DEN,"Denver, CO",SEA,"Seattle, WA",2205,2202,-3.00,13.00,12.00,0011,2347,-24.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19805,305,MIA,"Miami, FL",SEA,"Seattle, WA",1958,2017,19.00,19.00,11.00,0006,2340,-26.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19805,368,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",1455,1454,-1.00,18.00,9.00,1717,1656,-21.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19805,1644,SEA,"Seattle, WA",DFW,"Dallas/Fort Worth, TX",0915,0913,-2.00,14.00,10.00,1507,1456,-11.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19805,1681,PHX,"Phoenix, AZ",SEA,"Seattle, WA",2129,2121,-8.00,19.00,11.00,2341,2319,-22.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,20416,896,LAS,"Las Vegas, NV",SEA,"Seattle, WA",1340,1335,-5.00,18.00,10.00,1626,1610,-16.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,20368,712,BLI,"Bellingham, WA",LAS,"Las Vegas, NV",0830,0823,-7.00,11.00,6.00,1101,1059,-2.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,20368,705,SAN,"San Diego, CA",BLI,"Bellingham, WA",1129,1128,-1.00,27.00,4.00,1423,1421,-2.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,20368,179,PSC,"Pasco/Kennewick/Richland, WA",LAS,"Las Vegas, NV",1026,1012,-14.00,7.00,6.00,1229,1221,-8.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,20368,710,BLI,"Bellingham, WA",LAS,"Las Vegas, NV",1513,1502,-11.00,8.00,5.00,1744,1733,-11.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,20368,704,BLI,"Bellingham, WA",SAN,"San Diego, CA",0800,0759,-1.00,11.00,7.00,1049,1050,1.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19805,1045,ORD,"Chicago, IL",SEA,"Seattle, WA",1000,0955,-5.00,28.00,17.00,1245,1251,6.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19805,1045,SEA,"Seattle, WA",ORD,"Chicago, IL",1337,1344,7.00,26.00,19.00,1944,1948,4.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19805,1143,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",1641,1652,11.00,14.00,15.00,1909,1900,-9.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19690,21,SEA,"Seattle, WA",HNL,"Honolulu, HI",0840,0834,-6.00,32.00,5.00,1300,1243,-17.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19690,22,HNL,"Honolulu, HI",SEA,"Seattle, WA",1425,1438,13.00,15.00,6.00,2205,2217,12.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19690,29,SEA,"Seattle, WA",OGG,"Kahului, HI",1005,1004,-1.00,33.00,6.00,1420,1410,-10.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19690,30,OGG,"Kahului, HI",SEA,"Seattle, WA",1550,1556,6.00,13.00,9.00,2310,2322,12.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1096,SEA,"Seattle, WA",KOA,"Kona, HI",1555,1557,2.00,23.00,3.00,2022,1952,-30.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1156,PDX,"Portland, OR",SEA,"Seattle, WA",0735,0728,-7.00,10.00,10.00,0835,0819,-16.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1157,SEA,"Seattle, WA",PDX,"Portland, OR",2243,2241,-2.00,16.00,4.00,2340,2327,-13.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1167,ORD,"Chicago, IL",SEA,"Seattle, WA",1755,1748,-7.00,12.00,9.00,2034,2021,-13.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1167,SEA,"Seattle, WA",ORD,"Chicago, IL",1042,1039,-3.00,27.00,14.00,1639,1635,-4.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1171,SEA,"Seattle, WA",ORD,"Chicago, IL",1809,1805,-4.00,15.00,6.00,2359,2344,-15.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1186,PHX,"Phoenix, AZ",SEA,"Seattle, WA",0800,0752,-8.00,11.00,13.00,1015,0949,-26.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1202,SEA,"Seattle, WA",PHX,"Phoenix, AZ",1859,1859,0.00,13.00,5.00,2248,2244,-4.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1211,PHX,"Phoenix, AZ",SEA,"Seattle, WA",1955,1958,3.00,13.00,10.00,2208,2202,-6.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1211,SEA,"Seattle, WA",PHX,"Phoenix, AZ",1525,1533,8.00,16.00,7.00,1916,1921,5.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1222,PHX,"Phoenix, AZ",SEA,"Seattle, WA",1556,1546,-10.00,16.00,22.00,1808,1753,-15.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1222,SEA,"Seattle, WA",PHX,"Phoenix, AZ",1120,1115,-5.00,16.00,7.00,1511,1500,-11.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1250,PSP,"Palm Springs, CA",SEA,"Seattle, WA",1141,1157,16.00,25.00,6.00,1440,1453,13.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1250,SEA,"Seattle, WA",PSP,"Palm Springs, CA",0815,0814,-1.00,35.00,5.00,1101,1121,20.00,0.00,,0.00,0.00,0.00,20.00,0.00,0.00
2/1/2019 12:00:00 AM,19790,1253,RDU,"Raleigh/Durham, NC",SEA,"Seattle, WA",0615,0602,-13.00,17.00,12.00,0924,0911,-13.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1325,SAN,"San Diego, CA",SEA,"Seattle, WA",1122,1121,-1.00,21.00,7.00,1428,1408,-20.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1325,SEA,"Seattle, WA",SAN,"San Diego, CA",0740,0734,-6.00,15.00,2.00,1035,1017,-18.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1330,SAN,"San Diego, CA",SEA,"Seattle, WA",1500,1454,-6.00,34.00,14.00,1805,1755,-10.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1330,SEA,"Seattle, WA",SAN,"San Diego, CA",1125,1121,-4.00,12.00,4.00,1415,1404,-11.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1368,SAN,"San Diego, CA",SEA,"Seattle, WA",1859,1855,-4.00,20.00,8.00,2202,2150,-12.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1368,SEA,"Seattle, WA",SAN,"San Diego, CA",1519,1514,-5.00,13.00,2.00,1807,1755,-12.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1373,IAD,"Washington, DC",SEA,"Seattle, WA",0736,0729,-7.00,30.00,11.00,1045,1040,-5.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1381,SEA,"Seattle, WA",SAN,"San Diego, CA",1859,1856,-3.00,15.00,5.00,2144,2140,-4.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1391,MCO,"Orlando, FL",SEA,"Seattle, WA",0700,0739,39.00,17.00,17.00,1028,1041,13.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1397,SEA,"Seattle, WA",OGG,"Kahului, HI",1240,1234,-6.00,37.00,4.00,1712,1648,-24.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1399,SEA,"Seattle, WA",MCO,"Orlando, FL",0912,0906,-6.00,20.00,14.00,1733,1759,26.00,0.00,,0.00,0.00,0.00,26.00,0.00,0.00
2/1/2019 12:00:00 AM,19790,1442,IND,"Indianapolis, IN",SEA,"Seattle, WA",1818,1903,45.00,14.00,5.00,2030,2053,23.00,0.00,,0.00,23.00,0.00,0.00,0.00,0.00
2/1/2019 12:00:00 AM,19790,1442,SEA,"Seattle, WA",IND,"Indianapolis, IN",1014,1010,-4.00,29.00,6.00,1732,1718,-14.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1453,MSP,"Minneapolis, MN",SEA,"Seattle, WA",1810,1809,-1.00,12.00,10.00,2015,2002,-13.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1455,SEA,"Seattle, WA",SFO,"San Francisco, CA",1700,1739,39.00,18.00,6.00,1914,2001,47.00,0.00,,0.00,8.00,0.00,8.00,0.00,31.00
2/1/2019 12:00:00 AM,19790,1455,SFO,"San Francisco, CA",SEA,"Seattle, WA",1954,2044,50.00,20.00,5.00,2210,2246,36.00,0.00,,0.00,2.00,0.00,0.00,0.00,34.00
2/1/2019 12:00:00 AM,19790,1464,MSP,"Minneapolis, MN",SEA,"Seattle, WA",1938,1937,-1.00,10.00,7.00,2139,2112,-27.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1484,SEA,"Seattle, WA",SFO,"San Francisco, CA",1059,1137,38.00,29.00,4.00,1314,1406,52.00,0.00,,0.00,0.00,0.00,52.00,0.00,0.00
2/1/2019 12:00:00 AM,19790,1484,SFO,"San Francisco, CA",SEA,"Seattle, WA",1355,1454,59.00,17.00,6.00,1610,1646,36.00,0.00,,0.00,2.00,0.00,2.00,0.00,32.00
2/1/2019 12:00:00 AM,19790,1551,MSP,"Minneapolis, MN",SEA,"Seattle, WA",1125,1121,-4.00,17.00,9.00,1327,1322,-5.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1555,SEA,"Seattle, WA",SLC,"Salt Lake City, UT",0950,0957,7.00,29.00,4.00,1250,1303,13.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1589,SEA,"Seattle, WA",SLC,"Salt Lake City, UT",0556,0552,-4.00,16.00,13.00,0900,0850,-10.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1611,SEA,"Seattle, WA",MSP,"Minneapolis, MN",1306,1259,-7.00,21.00,6.00,1823,1804,-19.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1615,SEA,"Seattle, WA",SLC,"Salt Lake City, UT",0700,0653,-7.00,15.00,10.00,1003,0946,-17.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1622,PHX,"Phoenix, AZ",SEA,"Seattle, WA",1224,1219,-5.00,16.00,9.00,1440,1425,-15.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1622,SEA,"Seattle, WA",PHX,"Phoenix, AZ",0745,0748,3.00,24.00,4.00,1143,1139,-4.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1671,SEA,"Seattle, WA",SFO,"San Francisco, CA",2130,2300,90.00,25.00,3.00,2342,0115,93.00,0.00,,0.00,0.00,0.00,93.00,0.00,0.00
2/1/2019 12:00:00 AM,19790,1674,SEA,"Seattle, WA",MSP,"Minneapolis, MN",0040,0032,-8.00,12.00,3.00,0552,0527,-25.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1687,SFO,"San Francisco, CA",SEA,"Seattle, WA",0630,0625,-5.00,33.00,11.00,0850,0846,-4.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1712,CVG,"Cincinnati, OH",SEA,"Seattle, WA",0641,0654,13.00,26.00,9.00,0900,0910,10.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1724,SLC,"Salt Lake City, UT",SEA,"Seattle, WA",2225,2223,-2.00,25.00,12.00,2349,2337,-12.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1732,SEA,"Seattle, WA",TUS,"Tucson, AZ",0930,0925,-5.00,14.00,4.00,1330,1314,-16.00,0.00,,0.00,,,,,
2/1/2019 12:00:00 AM,19790,1732,TUS,"Tucson, AZ",SEA,"Seattle, WA",1410,1352,-18.00,16.00,14.00,1630,1617,-13.00,0.00,,0.00,,,,,
