FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2019 12:00:00 AM,20368,711,LAS,"Las Vegas, NV",BLI,"Bellingham, WA",1903,1848,-15.00,15.00,7.00,2144,2132,-12.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,20368,2643,SAN,"San Diego, CA",BLI,"Bellingham, WA",1822,2050,148.00,12.00,5.00,2124,2350,146.00,0.00,,0.00,146.00,0.00,0.00,0.00,0.00
1/1/2019 12:00:00 AM,20368,2642,BLI,"Bellingham, WA",SAN,"San Diego, CA",1452,1458,6.00,11.00,5.00,1742,1730,-12.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,20368,1003,BLI,"Bellingham, WA",OAK,"Oakland, CA",1631,1811,100.00,12.00,7.00,1838,2009,91.00,0.00,,0.00,13.00,0.00,0.00,0.00,78.00
1/1/2019 12:00:00 AM,20368,710,BLI,"Bellingham, WA",LAS,"Las Vegas, NV",1551,1537,-14.00,11.00,6.00,1823,1756,-27.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,20368,575,PSC,"Pasco/Kennewick/Richland, WA",AZA,"Phoenix, AZ",1028,1024,-4.00,9.00,4.00,1356,1336,-20.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,20416,193,LAS,"Las Vegas, NV",SEA,"Seattle, WA",1128,1127,-1.00,10.00,10.00,1415,1405,-10.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,20416,292,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1515,1521,6.00,10.00,7.00,1737,1728,-9.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,19790,112,KOA,"Kona, HI",SEA,"Seattle, WA",2145,2200,15.00,16.00,6.00,0530,0535,5.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,19790,128,SEA,"Seattle, WA",LAX,"Los Angeles, CA",0935,0932,-3.00,17.00,16.00,1219,1201,-18.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,19790,129,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1133,1134,1.00,21.00,5.00,1434,1428,-6.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,19790,198,SEA,"Seattle, WA",SLC,"Salt Lake City, UT",1730,1728,-2.00,15.00,17.00,2033,2024,-9.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,19790,199,SLC,"Salt Lake City, UT",SEA,"Seattle, WA",0820,0822,2.00,39.00,7.00,0946,0951,5.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,19790,440,SAN,"San Diego, CA",SEA,"Seattle, WA",0730,0724,-6.00,13.00,11.00,1041,1033,-8.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,19790,495,SEA,"Seattle, WA",DEN,"Denver, CO",0755,0753,-2.00,16.00,5.00,1145,1128,-17.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,19790,588,SEA,"Seattle, WA",MSP,"Minneapolis, MN",1125,1127,2.00,19.00,5.00,1649,1643,-6.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,19790,589,MSP,"Minneapolis, MN",SEA,"Seattle, WA",0850,0848,-2.00,24.00,20.00,1057,1036,-21.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,19790,688,FAI,"Fairbanks, AK",SEA,"Seattle, WA",0045,0041,-4.00,23.00,5.00,0534,0507,-27.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,19790,697,SEA,"Seattle, WA",FAI,"Fairbanks, AK",1915,1907,-8.00,23.00,5.00,2214,2200,-14.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,19790,702,SEA,"Seattle, WA",LAX,"Los Angeles, CA",1856,1907,11.00,14.00,8.00,2130,2125,-5.00,0.00,,0.00,,,,,
1/1/2019 12:00:00 AM,19790,724,SAN,"San Diego, CA",SEA,"Seattle, WA",1500,1452,-8.00,10.00,9.00,1804,1751,-13.00,0.00,,0.00,,,,,
