FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
6/1/2019 12:00:00 AM,19790,128,SEA,"Seattle, WA",LAX,"Los Angeles, CA",0955,0954,-1.00,26.00,6.00,1240,1227,-13.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,129,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1130,1128,-2.00,9.00,35.00,1428,1432,4.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,182,SEA,"Seattle, WA",JFK,"New York, NY",1105,1102,-3.00,21.00,29.00,1945,2008,23.00,0.00,,0.00,0.00,0.00,23.00,0.00,0.00
6/1/2019 12:00:00 AM,19790,183,JFK,"New York, NY",SEA,"Seattle, WA",0700,0703,3.00,24.00,7.00,0959,0950,-9.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,198,SEA,"Seattle, WA",SLC,"Salt Lake City, UT",1643,1635,-8.00,13.00,5.00,1945,1929,-16.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,199,SLC,"Salt Lake City, UT",SEA,"Seattle, WA",0820,0815,-5.00,11.00,15.00,0928,0921,-7.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,250,SEA,"Seattle, WA",ATL,"Atlanta, GA",2200,2213,13.00,14.00,9.00,0544,0542,-2.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,279,BOS,"Boston, MA",SEA,"Seattle, WA",1710,1729,19.00,16.00,4.00,2030,2019,-11.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,281,SEA,"Seattle, WA",DTW,"Detroit, MI",1150,1158,8.00,19.00,24.00,1913,1926,13.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,290,SEA,"Seattle, WA",ATL,"Atlanta, GA",0605,0609,4.00,11.00,5.00,1351,1330,-21.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,394,PHX,"Phoenix, AZ",SEA,"Seattle, WA",1850,1848,-2.00,9.00,9.00,2154,2135,-19.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,394,SEA,"Seattle, WA",PHX,"Phoenix, AZ",1510,1504,-6.00,13.00,7.00,1759,1751,-8.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,442,SEA,"Seattle, WA",PDX,"Portland, OR",2255,2301,6.00,9.00,2.00,2351,2342,-9.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,454,SAN,"San Diego, CA",SEA,"Seattle, WA",1455,1449,-6.00,15.00,8.00,1749,1744,-5.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,454,SEA,"Seattle, WA",SAN,"San Diego, CA",1125,1130,5.00,13.00,3.00,1406,1357,-9.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,479,SAN,"San Diego, CA",SEA,"Seattle, WA",1859,1856,-3.00,15.00,9.00,2156,2146,-10.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,479,SEA,"Seattle, WA",SAN,"San Diego, CA",1524,1520,-4.00,15.00,4.00,1810,1754,-16.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,555,SEA,"Seattle, WA",PHX,"Phoenix, AZ",1850,1912,22.00,14.00,4.00,2136,2155,19.00,0.00,,0.00,3.00,0.00,0.00,0.00,16.00
6/1/2019 12:00:00 AM,19790,570,SEA,"Seattle, WA",SLC,"Salt Lake City, UT",2045,2040,-5.00,13.00,9.00,2342,2341,-1.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,579,SEA,"Seattle, WA",SFO,"San Francisco, CA",0946,0948,2.00,24.00,14.00,1213,1157,-16.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,581,DTW,"Detroit, MI",SEA,"Seattle, WA",0825,0822,-3.00,12.00,12.00,1010,0956,-14.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,588,SEA,"Seattle, WA",MSP,"Minneapolis, MN",1124,1125,1.00,13.00,5.00,1645,1637,-8.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,589,MSP,"Minneapolis, MN",SEA,"Seattle, WA",1145,1146,1.00,15.00,25.00,1324,1325,1.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,595,DEN,"Denver, CO",SEA,"Seattle, WA",1859,1854,-5.00,14.00,6.00,2053,2038,-15.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,596,SEA,"Seattle, WA",SLC,"Salt Lake City, UT",1845,2200,195.00,17.00,5.00,2142,0056,194.00,0.00,,0.00,0.00,0.00,0.00,0.00,194.00
6/1/2019 12:00:00 AM,19790,609,ATL,"Atlanta, GA",SEA,"Seattle, WA",0811,0816,5.00,15.00,96.00,1029,1202,93.00,0.00,,0.00,0.00,0.00,93.00,0.00,0.00
6/1/2019 12:00:00 AM,19790,620,SEA,"Seattle, WA",CVG,"Cincinnati, OH",2245,2249,4.00,11.00,5.00,0607,0549,-18.00,0.00,,0.00,,,,,
6/1/2019 12:00:00 AM,19790,632,IND,"Indianapolis, IN",SEA,"Seattle, WA",1828,1827,-1.00,12.00,8.00,2015,1949,-26.00,0.00,,0.00,,,,,
