FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
3/1/2019 12:00:00 AM,20416,622,LAS,"Las Vegas, NV",SEA,"Seattle, WA",2040,2030,-10.00,11.00,14.00,2325,2305,-20.00,0.00,,0.00,,,,,
3/1/2019 12:00:00 AM,20416,719,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1720,1709,-11.00,17.00,4.00,1945,1929,-16.00,0.00,,0.00,,,,,
3/1/2019 12:00:00 AM,19805,368,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",1455,1510,15.00,17.00,9.00,1718,1757,39.00,0.00,,0.00,15.00,0.00,24.00,0.00,0.00
3/1/2019 12:00:00 AM,19805,2755,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",1036,1033,-3.00,21.00,6.00,1309,1305,-4.00,0.00,,0.00,,,,,
3/1/2019 12:00:00 AM,19805,2755,SEA,"Seattle, WA",DFW,"Dallas/Fort Worth, TX",1404,1414,10.00,17.00,20.00,1954,1950,-4.00,0.00,,0.00,,,,,
3/1/2019 12:00:00 AM,19805,2768,SEA,"Seattle, WA",JFK,"New York, NY",0750,0753,3.00,26.00,14.00,1614,1614,0.00,0.00,,0.00,,,,,
3/1/2019 12:00:00 AM,19393,336,SAN,"San Diego, CA",SEA,"Seattle, WA",0745,0743,-2.00,13.00,9.00,1055,1037,-18.00,0.00,,0.00,,,,,
3/1/2019 12:00:00 AM,19393,183,SEA,"Seattle, WA",DAL,"Dallas, TX",1345,1416,31.00,21.00,3.00,1945,1939,-6.00,0.00,,0.00,,,,,
3/1/2019 12:00:00 AM,19393,1017,SEA,"Seattle, WA",DEN,"Denver, CO",1430,1439,9.00,10.00,5.00,1805,1750,-15.00,0.00,,0.00,,,,,
3/1/2019 12:00:00 AM,19393,1554,SEA,"Seattle, WA",DEN,"Denver, CO",1155,1155,0.00,55.00,8.00,1540,1606,26.00,0.00,,0.00,0.00,0.00,26.00,0.00,0.00
3/1/2019 12:00:00 AM,19393,2179,SEA,"Seattle, WA",DEN,"Denver, CO",0630,0639,9.00,16.00,3.00,1000,0958,-2.00,0.00,,0.00,,,,,
3/1/2019 12:00:00 AM,19393,576,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1225,1310,45.00,22.00,3.00,1505,1535,30.00,0.00,,0.00,11.00,0.00,0.00,0.00,19.00
3/1/2019 12:00:00 AM,19393,977,SEA,"Seattle, WA",LAS,"Las Vegas, NV",0855,0856,1.00,23.00,3.00,1120,1117,-3.00,0.00,,0.00,,,,,
3/1/2019 12:00:00 AM,19393,1862,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1800,1800,0.00,16.00,5.00,2030,2017,-13.00,0.00,,0.00,,,,,
3/1/2019 12:00:00 AM,19393,725,SEA,"Seattle, WA",MDW,"Chicago, IL",1315,1416,61.00,18.00,3.00,1910,1952,42.00,0.00,,0.00,42.00,0.00,0.00,0.00,0.00
3/1/2019 12:00:00 AM,19393,1224,SEA,"Seattle, WA",MDW,"Chicago, IL",0545,0544,-1.00,14.00,5.00,1140,1128,-12.00,0.00,,0.00,,,,,
3/1/2019 12:00:00 AM,19393,249,SEA,"Seattle, WA",OAK,"Oakland, CA",2030,2024,-6.00,10.00,5.00,2230,2220,-10.00,0.00,,0.00,,,,,
3/1/2019 12:00:00 AM,19393,377,SEA,"Seattle, WA",OAK,"Oakland, CA",1150,1147,-3.00,24.00,7.00,1400,1357,-3.00,0.00,,0.00,,,,,
