FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
4/1/2019 12:00:00 AM,20409,63,JFK,"New York, NY",SEA,"Seattle, WA",822,856.0,34.0,32.0,7.0,1152,1234.0,42.0,0.0,,0.0,34.0,0.0,8.0,0.0,0.0
4/1/2019 12:00:00 AM,20409,263,JFK,"New York, NY",SEA,"Seattle, WA",1714,1705.0,-9.0,14.0,9.0,2051,2023.0,-28.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,20409,264,SEA,"Seattle, WA",JFK,"New York, NY",2201,2153.0,-8.0,16.0,7.0,626,553.0,-33.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,20409,464,SEA,"Seattle, WA",JFK,"New York, NY",1302,1457.0,115.0,10.0,4.0,2134,2241.0,67.0,0.0,,0.0,48.0,0.0,0.0,0.0,19.0
4/1/2019 12:00:00 AM,19790,183,JFK,"New York, NY",SEA,"Seattle, WA",710,709.0,-1.0,15.0,11.0,1035,1017.0,-18.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,824,SEA,"Seattle, WA",JFK,"New York, NY",2243,2245.0,2.0,15.0,9.0,700,643.0,-17.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,1120,SEA,"Seattle, WA",JFK,"New York, NY",1545,1549.0,4.0,20.0,9.0,5,2350.0,-15.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,1307,SEA,"Seattle, WA",JFK,"New York, NY",1130,1130.0,0.0,13.0,25.0,1955,1940.0,-15.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,2218,SEA,"Seattle, WA",JFK,"New York, NY",740,735.0,-5.0,14.0,13.0,1606,1527.0,-39.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,2950,JFK,"New York, NY",SEA,"Seattle, WA",1815,1814.0,-1.0,12.0,12.0,2145,2120.0,-25.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,2955,JFK,"New York, NY",SEA,"Seattle, WA",1615,1613.0,-2.0,24.0,12.0,1951,1931.0,-20.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,2978,JFK,"New York, NY",SEA,"Seattle, WA",1125,1123.0,-2.0,23.0,11.0,1440,1443.0,3.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19930,7,JFK,"New York, NY",SEA,"Seattle, WA",700,654.0,-6.0,26.0,11.0,1025,1031.0,6.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19930,18,SEA,"Seattle, WA",JFK,"New York, NY",2200,2159.0,-1.0,21.0,7.0,625,602.0,-23.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19930,349,JFK,"New York, NY",SEA,"Seattle, WA",900,909.0,9.0,27.0,6.0,1225,1244.0,19.0,0.0,,0.0,0.0,0.0,10.0,0.0,9.0
4/1/2019 12:00:00 AM,19930,426,SEA,"Seattle, WA",JFK,"New York, NY",1345,1342.0,-3.0,23.0,10.0,2220,2152.0,-28.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19930,628,SEA,"Seattle, WA",JFK,"New York, NY",705,700.0,-5.0,12.0,8.0,1540,1458.0,-42.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19930,1063,JFK,"New York, NY",SEA,"Seattle, WA",1855,1900.0,5.0,33.0,15.0,2225,2238.0,13.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19930,7,JFK,"New York, NY",SEA,"Seattle, WA",700,700.0,0.0,22.0,9.0,1025,1006.0,-19.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19930,18,SEA,"Seattle, WA",JFK,"New York, NY",2200,2154.0,-6.0,15.0,7.0,625,552.0,-33.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19930,349,JFK,"New York, NY",SEA,"Seattle, WA",900,859.0,-1.0,21.0,10.0,1225,1207.0,-18.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19930,426,SEA,"Seattle, WA",JFK,"New York, NY",1345,1343.0,-2.0,15.0,8.0,2220,2140.0,-40.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19930,628,SEA,"Seattle, WA",JFK,"New York, NY",705,710.0,5.0,13.0,9.0,1540,1517.0,-23.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19930,1063,JFK,"New York, NY",SEA,"Seattle, WA",1855,1905.0,10.0,58.0,10.0,2225,2256.0,31.0,0.0,,0.0,10.0,0.0,21.0,0.0,0.0
4/2/2019 12:00:00 AM,19790,182,SEA,"Seattle, WA",JFK,"New York, NY",1125,1121.0,-4.0,13.0,23.0,2000,1933.0,-27.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19790,183,JFK,"New York, NY",SEA,"Seattle, WA",710,707.0,-3.0,22.0,8.0,1018,1015.0,-3.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19790,824,SEA,"Seattle, WA",JFK,"New York, NY",2240,2238.0,-2.0,17.0,23.0,700,657.0,-3.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19790,2218,SEA,"Seattle, WA",JFK,"New York, NY",743,740.0,-3.0,20.0,10.0,1608,1544.0,-24.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19790,2950,JFK,"New York, NY",SEA,"Seattle, WA",1815,1812.0,-3.0,22.0,5.0,2149,2108.0,-41.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19790,2955,JFK,"New York, NY",SEA,"Seattle, WA",1630,1625.0,-5.0,28.0,9.0,1959,1945.0,-14.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,20409,63,JFK,"New York, NY",SEA,"Seattle, WA",822,815.0,-7.0,22.0,20.0,1152,1135.0,-17.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,20409,263,JFK,"New York, NY",SEA,"Seattle, WA",1714,1709.0,-5.0,29.0,3.0,2051,2035.0,-16.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,20409,264,SEA,"Seattle, WA",JFK,"New York, NY",2201,2153.0,-8.0,15.0,10.0,626,549.0,-37.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,20409,464,SEA,"Seattle, WA",JFK,"New York, NY",1302,1252.0,-10.0,14.0,8.0,2134,2052.0,-42.0,0.0,,0.0,,,,,
4/3/2019 12:00:00 AM,19790,2950,JFK,"New York, NY",SEA,"Seattle, WA",1815,1830.0,15.0,21.0,10.0,2149,2147.0,-2.0,0.0,,0.0,,,,,
4/3/2019 12:00:00 AM,19790,2955,JFK,"New York, NY",SEA,"Seattle, WA",1630,1625.0,-5.0,88.0,7.0,1959,2044.0,45.0,0.0,,0.0,0.0,0.0,45.0,0.0,0.0
4/3/2019 12:00:00 AM,19790,2978,JFK,"New York, NY",SEA,"Seattle, WA",1129,1124.0,-5.0,17.0,9.0,1440,1459.0,19.0,0.0,,0.0,0.0,0.0,19.0,0.0,0.0
4/3/2019 12:00:00 AM,20409,63,JFK,"New York, NY",SEA,"Seattle, WA",822,813.0,-9.0,19.0,12.0,1152,1152.0,0.0,0.0,,0.0,,,,,
4/3/2019 12:00:00 AM,20409,263,JFK,"New York, NY",SEA,"Seattle, WA",1714,1730.0,16.0,54.0,5.0,2051,2128.0,37.0,0.0,,0.0,0.0,0.0,37.0,0.0,0.0
4/3/2019 12:00:00 AM,20409,264,SEA,"Seattle, WA",JFK,"New York, NY",2201,2233.0,32.0,10.0,6.0,626,615.0,-11.0,0.0,,0.0,,,,,
