FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
4/1/2019 12:00:00 AM,19790,128,SEA,"Seattle, WA",LAX,"Los Angeles, CA",1029,1023.0,-6.0,19.0,6.0,1317,1301.0,-16.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,129,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1159,1158.0,-1.0,11.0,14.0,1454,1432.0,-22.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,540,SEA,"Seattle, WA",LAX,"Los Angeles, CA",2050,2046.0,-4.0,19.0,7.0,2328,2326.0,-2.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,553,LAX,"Los Angeles, CA",SEA,"Seattle, WA",929,927.0,-2.0,11.0,9.0,1226,1153.0,-33.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,1390,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1407,1421.0,14.0,11.0,8.0,1700,1644.0,-16.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,1890,LAX,"Los Angeles, CA",SEA,"Seattle, WA",600,558.0,-2.0,21.0,7.0,859,844.0,-15.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,1906,LAX,"Los Angeles, CA",SEA,"Seattle, WA",750,816.0,26.0,13.0,10.0,1045,1055.0,10.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,2107,SEA,"Seattle, WA",LAX,"Los Angeles, CA",1130,1131.0,1.0,23.0,5.0,1415,1415.0,0.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,2137,SEA,"Seattle, WA",LAX,"Los Angeles, CA",1357,1352.0,-5.0,23.0,6.0,1637,1634.0,-3.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,2153,SEA,"Seattle, WA",LAX,"Los Angeles, CA",755,755.0,0.0,30.0,10.0,1039,1116.0,37.0,0.0,,0.0,0.0,0.0,37.0,0.0,0.0
4/1/2019 12:00:00 AM,19790,2264,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1510,1509.0,-1.0,9.0,8.0,1803,1728.0,-35.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,2281,LAX,"Los Angeles, CA",SEA,"Seattle, WA",2041,2152.0,71.0,10.0,6.0,2325,10.0,45.0,0.0,,0.0,25.0,0.0,0.0,0.0,20.0
4/1/2019 12:00:00 AM,19790,2377,SEA,"Seattle, WA",LAX,"Los Angeles, CA",600,600.0,0.0,11.0,11.0,849,836.0,-13.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,2414,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1705,1704.0,-1.0,8.0,8.0,1958,1921.0,-37.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,2432,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1900,1857.0,-3.0,10.0,33.0,2147,2146.0,-1.0,0.0,,0.0,,,,,
