FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
4/1/2019 12:00:00 AM,19805,305,MIA,"Miami, FL",SEA,"Seattle, WA",1958,2026.0,28.0,20.0,8.0,2348,2354.0,6.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19805,1471,SEA,"Seattle, WA",MIA,"Miami, FL",2105,2118.0,13.0,18.0,5.0,550,534.0,-16.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19805,1471,SEA,"Seattle, WA",MIA,"Miami, FL",2104,2059.0,-5.0,14.0,6.0,550,527.0,-23.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19805,305,MIA,"Miami, FL",SEA,"Seattle, WA",1958,2006.0,8.0,14.0,14.0,2347,2342.0,-5.0,0.0,,0.0,,,,,
4/3/2019 12:00:00 AM,19805,305,MIA,"Miami, FL",SEA,"Seattle, WA",1958,1955.0,-3.0,27.0,11.0,2347,2346.0,-1.0,0.0,,0.0,,,,,
4/3/2019 12:00:00 AM,19805,1471,SEA,"Seattle, WA",MIA,"Miami, FL",2104,2059.0,-5.0,20.0,6.0,550,540.0,-10.0,0.0,,0.0,,,,,
4/4/2019 12:00:00 AM,19805,1471,SEA,"Seattle, WA",MIA,"Miami, FL",2104,2101.0,-3.0,18.0,6.0,550,533.0,-17.0,0.0,,0.0,,,,,
4/4/2019 12:00:00 AM,19805,305,MIA,"Miami, FL",SEA,"Seattle, WA",1958,1956.0,-2.0,24.0,23.0,2347,2346.0,-1.0,0.0,,0.0,,,,,
4/5/2019 12:00:00 AM,19805,305,MIA,"Miami, FL",SEA,"Seattle, WA",1958,2005.0,7.0,27.0,7.0,2347,2328.0,-19.0,0.0,,0.0,,,,,
4/5/2019 12:00:00 AM,19805,1471,SEA,"Seattle, WA",MIA,"Miami, FL",2104,2101.0,-3.0,18.0,6.0,550,549.0,-1.0,0.0,,0.0,,,,,
