FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
4/1/2019 12:00:00 AM,19790,635,AUS,"Austin, TX",SEA,"Seattle, WA",615,612.0,-3.0,17.0,8.0,900,856.0,-4.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19790,748,SEA,"Seattle, WA",AUS,"Austin, TX",1750,1810.0,20.0,16.0,10.0,2351,2352.0,1.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19930,1144,SEA,"Seattle, WA",AUS,"Austin, TX",750,824.0,34.0,19.0,19.0,1355,1419.0,24.0,0.0,,0.0,24.0,0.0,0.0,0.0,0.0
4/1/2019 12:00:00 AM,19930,1146,SEA,"Seattle, WA",AUS,"Austin, TX",1745,1733.0,-12.0,16.0,5.0,2345,2315.0,-30.0,0.0,,0.0,,,,,
4/1/2019 12:00:00 AM,19930,1163,AUS,"Austin, TX",SEA,"Seattle, WA",620,653.0,33.0,14.0,7.0,900,928.0,28.0,0.0,,0.0,28.0,0.0,0.0,0.0,0.0
4/1/2019 12:00:00 AM,19930,1793,AUS,"Austin, TX",SEA,"Seattle, WA",1955,1955.0,0.0,13.0,4.0,2230,2220.0,-10.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19930,1144,SEA,"Seattle, WA",AUS,"Austin, TX",750,800.0,10.0,45.0,10.0,1355,1432.0,37.0,0.0,,0.0,10.0,0.0,27.0,0.0,0.0
4/2/2019 12:00:00 AM,19930,1146,SEA,"Seattle, WA",AUS,"Austin, TX",1745,1741.0,-4.0,17.0,5.0,2345,2335.0,-10.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19930,1163,AUS,"Austin, TX",SEA,"Seattle, WA",620,608.0,-12.0,21.0,10.0,900,844.0,-16.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19930,1793,AUS,"Austin, TX",SEA,"Seattle, WA",1955,1950.0,-5.0,19.0,4.0,2230,2208.0,-22.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19790,748,SEA,"Seattle, WA",AUS,"Austin, TX",1735,1726.0,-9.0,18.0,8.0,2326,2326.0,0.0,0.0,,0.0,,,,,
4/2/2019 12:00:00 AM,19790,1769,AUS,"Austin, TX",SEA,"Seattle, WA",615,612.0,-3.0,12.0,19.0,858,837.0,-21.0,0.0,,0.0,,,,,
4/3/2019 12:00:00 AM,19790,748,SEA,"Seattle, WA",AUS,"Austin, TX",1735,1739.0,4.0,20.0,8.0,2326,2319.0,-7.0,0.0,,0.0,,,,,
4/3/2019 12:00:00 AM,19790,1769,AUS,"Austin, TX",SEA,"Seattle, WA",615,611.0,-4.0,16.0,14.0,858,846.0,-12.0,0.0,,0.0,,,,,
4/3/2019 12:00:00 AM,19930,1144,SEA,"Seattle, WA",AUS,"Austin, TX",750,743.0,-7.0,36.0,9.0,1355,1350.0,-5.0,0.0,,0.0,,,,,
4/3/2019 12:00:00 AM,19930,1146,SEA,"Seattle, WA",AUS,"Austin, TX",1745,1736.0,-9.0,21.0,4.0,2345,2335.0,-10.0,0.0,,0.0,,,,,
4/3/2019 12:00:00 AM,19930,1163,AUS,"Austin, TX",SEA,"Seattle, WA",620,613.0,-7.0,13.0,7.0,900,832.0,-28.0,0.0,,0.0,,,,,
4/3/2019 12:00:00 AM,19930,1793,AUS,"Austin, TX",SEA,"Seattle, WA",1955,1949.0,-6.0,10.0,10.0,2230,2229.0,-1.0,0.0,,0.0,,,,,
4/4/2019 12:00:00 AM,19930,1144,SEA,"Seattle, WA",AUS,"Austin, TX",750,746.0,-4.0,26.0,4.0,1355,1347.0,-8.0,0.0,,0.0,,,,,
4/4/2019 12:00:00 AM,19930,1146,SEA,"Seattle, WA",AUS,"Austin, TX",1745,1858.0,73.0,19.0,6.0,2345,59.0,74.0,0.0,,0.0,0.0,0.0,1.0,0.0,73.0
4/4/2019 12:00:00 AM,19930,1163,AUS,"Austin, TX",SEA,"Seattle, WA",620,616.0,-4.0,22.0,9.0,900,854.0,-6.0,0.0,,0.0,,,,,
4/4/2019 12:00:00 AM,19930,1793,AUS,"Austin, TX",SEA,"Seattle, WA",1955,1946.0,-9.0,23.0,16.0,2230,2221.0,-9.0,0.0,,0.0,,,,,
4/4/2019 12:00:00 AM,19790,748,SEA,"Seattle, WA",AUS,"Austin, TX",1735,1729.0,-6.0,27.0,7.0,2326,2331.0,5.0,0.0,,0.0,,,,,
4/4/2019 12:00:00 AM,19790,1769,AUS,"Austin, TX",SEA,"Seattle, WA",615,616.0,1.0,17.0,9.0,858,850.0,-8.0,0.0,,0.0,,,,,
4/5/2019 12:00:00 AM,19790,748,SEA,"Seattle, WA",AUS,"Austin, TX",1735,1719.0,-16.0,17.0,7.0,2326,2330.0,4.0,0.0,,0.0,,,,,
4/5/2019 12:00:00 AM,19790,1769,AUS,"Austin, TX",SEA,"Seattle, WA",615,612.0,-3.0,19.0,13.0,858,832.0,-26.0,0.0,,0.0,,,,,
4/5/2019 12:00:00 AM,19930,1144,SEA,"Seattle, WA",AUS,"Austin, TX",750,800.0,10.0,34.0,5.0,1355,1420.0,25.0,0.0,,0.0,0.0,0.0,25.0,0.0,0.0
4/5/2019 12:00:00 AM,19930,1146,SEA,"Seattle, WA",AUS,"Austin, TX",1745,1739.0,-6.0,37.0,6.0,2345,13.0,28.0,0.0,,0.0,0.0,0.0,28.0,0.0,0.0
4/5/2019 12:00:00 AM,19930,1163,AUS,"Austin, TX",SEA,"Seattle, WA",620,612.0,-8.0,12.0,14.0,900,830.0,-30.0,0.0,,0.0,,,,,
4/5/2019 12:00:00 AM,19930,1793,AUS,"Austin, TX",SEA,"Seattle, WA",1955,2028.0,33.0,16.0,7.0,2230,2244.0,14.0,0.0,,0.0,,,,,
4/6/2019 12:00:00 AM,19930,1144,SEA,"Seattle, WA",AUS,"Austin, TX",750,742.0,-8.0,20.0,7.0,1355,1358.0,3.0,0.0,,0.0,,,,,
4/6/2019 12:00:00 AM,19930,1146,SEA,"Seattle, WA",AUS,"Austin, TX",1745,1738.0,-7.0,17.0,6.0,2345,2326.0,-19.0,0.0,,0.0,,,,,
4/6/2019 12:00:00 AM,19930,1163,AUS,"Austin, TX",SEA,"Seattle, WA",620,608.0,-12.0,16.0,10.0,900,901.0,1.0,0.0,,0.0,,,,,
4/6/2019 12:00:00 AM,19930,1793,AUS,"Austin, TX",SEA,"Seattle, WA",1955,2034.0,39.0,12.0,6.0,2230,2251.0,21.0,0.0,,0.0,0.0,0.0,0.0,0.0,21.0
4/6/2019 12:00:00 AM,19790,1769,AUS,"Austin, TX",SEA,"Seattle, WA",615,621.0,6.0,20.0,11.0,855,849.0,-6.0,0.0,,0.0,,,,,
4/7/2019 12:00:00 AM,19930,1144,SEA,"Seattle, WA",AUS,"Austin, TX",750,750.0,0.0,22.0,4.0,1355,1351.0,-4.0,0.0,,0.0,,,,,
4/7/2019 12:00:00 AM,19930,1146,SEA,"Seattle, WA",AUS,"Austin, TX",1745,1740.0,-5.0,18.0,3.0,2345,2324.0,-21.0,0.0,,0.0,,,,,
4/7/2019 12:00:00 AM,19930,1163,AUS,"Austin, TX",SEA,"Seattle, WA",620,608.0,-12.0,14.0,9.0,900,851.0,-9.0,0.0,,0.0,,,,,
4/7/2019 12:00:00 AM,19930,1793,AUS,"Austin, TX",SEA,"Seattle, WA",1955,2001.0,6.0,17.0,9.0,2230,2242.0,12.0,0.0,,0.0,,,,,
4/7/2019 12:00:00 AM,19790,748,SEA,"Seattle, WA",AUS,"Austin, TX",1735,1739.0,4.0,16.0,7.0,2326,2322.0,-4.0,0.0,,0.0,,,,,
4/8/2019 12:00:00 AM,19930,1144,SEA,"Seattle, WA",AUS,"Austin, TX",750,746.0,-4.0,40.0,4.0,1355,1358.0,3.0,0.0,,0.0,,,,,
4/8/2019 12:00:00 AM,19930,1146,SEA,"Seattle, WA",AUS,"Austin, TX",1745,1812.0,27.0,22.0,4.0,2345,2357.0,12.0,0.0,,0.0,,,,,
4/8/2019 12:00:00 AM,19930,1163,AUS,"Austin, TX",SEA,"Seattle, WA",620,619.0,-1.0,15.0,14.0,900,859.0,-1.0,0.0,,0.0,,,,,
4/8/2019 12:00:00 AM,19930,1793,AUS,"Austin, TX",SEA,"Seattle, WA",1955,1952.0,-3.0,14.0,11.0,2230,2229.0,-1.0,0.0,,0.0,,,,,
4/8/2019 12:00:00 AM,19790,748,SEA,"Seattle, WA",AUS,"Austin, TX",1735,1731.0,-4.0,27.0,7.0,2326,2323.0,-3.0,0.0,,0.0,,,,,
4/8/2019 12:00:00 AM,19790,1769,AUS,"Austin, TX",SEA,"Seattle, WA",615,615.0,0.0,17.0,8.0,858,902.0,4.0,0.0,,0.0,,,,,
4/9/2019 12:00:00 AM,19790,1769,AUS,"Austin, TX",SEA,"Seattle, WA",615,612.0,-3.0,16.0,13.0,858,850.0,-8.0,0.0,,0.0,,,,,
4/9/2019 12:00:00 AM,19790,748,SEA,"Seattle, WA",AUS,"Austin, TX",1735,1730.0,-5.0,17.0,8.0,2326,2322.0,-4.0,0.0,,0.0,,,,,
4/9/2019 12:00:00 AM,19930,1144,SEA,"Seattle, WA",AUS,"Austin, TX",750,745.0,-5.0,29.0,5.0,1355,1348.0,-7.0,0.0,,0.0,,,,,
4/9/2019 12:00:00 AM,19930,1146,SEA,"Seattle, WA",AUS,"Austin, TX",1745,1740.0,-5.0,19.0,4.0,2345,2331.0,-14.0,0.0,,0.0,,,,,
4/9/2019 12:00:00 AM,19930,1163,AUS,"Austin, TX",SEA,"Seattle, WA",620,611.0,-9.0,14.0,13.0,850,852.0,2.0,0.0,,0.0,,,,,
4/9/2019 12:00:00 AM,19930,1793,AUS,"Austin, TX",SEA,"Seattle, WA",1955,1954.0,-1.0,18.0,10.0,2225,2221.0,-4.0,0.0,,0.0,,,,,
4/10/2019 12:00:00 AM,19930,1144,SEA,"Seattle, WA",AUS,"Austin, TX",750,748.0,-2.0,20.0,4.0,1355,1345.0,-10.0,0.0,,0.0,,,,,
4/10/2019 12:00:00 AM,19930,1146,SEA,"Seattle, WA",AUS,"Austin, TX",1745,1744.0,-1.0,24.0,6.0,2345,2338.0,-7.0,0.0,,0.0,,,,,
