,FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,2019-01-01,19930,1736,SEA,"Seattle, WA",LAX,"Los Angeles, CA",2150,2150.0,0.0,22.0,9.0,32,18.0,-14.0,0.0,,0.0,,,,,
2,2019-01-01,19930,1610,SEA,"Seattle, WA",LAX,"Los Angeles, CA",1710,1744.0,34.0,29.0,13.0,1952,2026.0,34.0,0.0,,0.0,0.0,0.0,0.0,0.0,34.0
3,2019-01-01,19930,1047,LAX,"Los Angeles, CA",SEA,"Seattle, WA",2335,17.0,42.0,22.0,4.0,232,306.0,34.0,0.0,,0.0,34.0,0.0,0.0,0.0,0.0
4,2019-01-01,19930,1043,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1640,1641.0,1.0,12.0,10.0,1936,1929.0,-7.0,0.0,,0.0,,,,,
6,2019-01-01,19930,1039,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1305,1357.0,52.0,17.0,6.0,1600,1645.0,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,45.0
7,2019-01-01,19930,1033,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1155,1223.0,28.0,21.0,7.0,1450,1520.0,30.0,0.0,,0.0,10.0,0.0,2.0,0.0,18.0
8,2019-01-01,19930,1031,LAX,"Los Angeles, CA",SEA,"Seattle, WA",950,943.0,-7.0,13.0,9.0,1245,1233.0,-12.0,0.0,,0.0,,,,,
10,2019-01-01,19930,1007,LAX,"Los Angeles, CA",SEA,"Seattle, WA",500,451.0,-9.0,19.0,7.0,757,746.0,-11.0,0.0,,0.0,,,,,
11,2019-01-01,19930,551,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1040,1031.0,-9.0,16.0,7.0,1341,1320.0,-21.0,0.0,,0.0,,,,,
12,2019-01-01,19930,467,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1934,1928.0,-6.0,21.0,5.0,2230,2220.0,-10.0,0.0,,0.0,,,,,
13,2019-01-01,19930,453,LAX,"Los Angeles, CA",SEA,"Seattle, WA",700,658.0,-2.0,13.0,15.0,1001,957.0,-4.0,0.0,,0.0,,,,,
14,2019-01-01,19930,444,SEA,"Seattle, WA",LAX,"Los Angeles, CA",1940,1936.0,-4.0,14.0,10.0,2226,2155.0,-31.0,0.0,,0.0,,,,,
16,2019-01-01,19930,432,SEA,"Seattle, WA",LAX,"Los Angeles, CA",1145,1141.0,-4.0,23.0,14.0,1436,1414.0,-22.0,0.0,,0.0,,,,,
17,2019-01-01,19930,428,SEA,"Seattle, WA",LAX,"Los Angeles, CA",1500,1459.0,-1.0,10.0,11.0,1746,1719.0,-27.0,0.0,,0.0,,,,,
18,2019-01-01,19930,1746,SEA,"Seattle, WA",LAX,"Los Angeles, CA",2045,2039.0,-6.0,17.0,7.0,2327,2300.0,-27.0,0.0,,0.0,,,,,
19,2019-01-01,19930,1754,SEA,"Seattle, WA",LAX,"Los Angeles, CA",600,558.0,-2.0,21.0,15.0,846,829.0,-17.0,0.0,,0.0,,,,,
20,2019-01-01,19930,1756,SEA,"Seattle, WA",LAX,"Los Angeles, CA",855,851.0,-4.0,15.0,20.0,1142,1121.0,-21.0,0.0,,0.0,,,,,
21,2019-01-01,19930,1760,SEA,"Seattle, WA",LAX,"Los Angeles, CA",800,804.0,4.0,17.0,19.0,1047,1038.0,-9.0,0.0,,0.0,,,,,
22,2019-01-01,19690,22,HNL,"Honolulu, HI",SEA,"Seattle, WA",1425,1427.0,2.0,14.0,5.0,2200,2214.0,14.0,0.0,,0.0,,,,,
23,2019-01-01,19690,21,SEA,"Seattle, WA",HNL,"Honolulu, HI",835,835.0,0.0,13.0,14.0,1250,1218.0,-32.0,0.0,,0.0,,,,,
24,2019-01-01,19930,893,SEA,"Seattle, WA",HNL,"Honolulu, HI",1748,1743.0,-5.0,23.0,22.0,2225,2155.0,-30.0,0.0,,0.0,,,,,
26,2019-01-01,19930,860,HNL,"Honolulu, HI",SEA,"Seattle, WA",2325,2316.0,-9.0,27.0,7.0,718,705.0,-13.0,0.0,,0.0,,,,,
27,2019-01-01,19930,859,SEA,"Seattle, WA",HNL,"Honolulu, HI",700,700.0,0.0,16.0,4.0,1142,1043.0,-59.0,0.0,,0.0,,,,,
28,2019-01-01,19930,851,SEA,"Seattle, WA",HNL,"Honolulu, HI",1140,1140.0,0.0,12.0,45.0,1622,1600.0,-22.0,0.0,,0.0,,,,,
29,2019-01-01,19930,424,SEA,"Seattle, WA",LAX,"Los Angeles, CA",1400,1358.0,-2.0,16.0,14.0,1651,1626.0,-25.0,0.0,,0.0,,,,,
31,2019-01-01,19790,942,SEA,"Seattle, WA",HNL,"Honolulu, HI",1731,1731.0,0.0,20.0,6.0,2155,2119.0,-36.0,0.0,,0.0,,,,,
32,2019-01-01,19790,915,SEA,"Seattle, WA",HNL,"Honolulu, HI",805,803.0,-2.0,23.0,3.0,1240,1142.0,-58.0,0.0,,0.0,,,,,
33,2019-01-01,19790,1342,SEA,"Seattle, WA",AUS,"Austin, TX",1233,1232.0,-1.0,15.0,4.0,1840,1824.0,-16.0,0.0,,0.0,,,,,
34,2019-01-01,19977,1822,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1940,1934.0,-6.0,18.0,7.0,2244,2226.0,-18.0,0.0,,0.0,,,,,
35,2019-01-01,19930,1797,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1750,1751.0,1.0,26.0,8.0,2046,2052.0,6.0,0.0,,0.0,,,,,
36,2019-01-01,19930,1784,SEA,"Seattle, WA",LAX,"Los Angeles, CA",1015,1033.0,18.0,18.0,12.0,1302,1255.0,-7.0,0.0,,0.0,,,,,
37,2019-01-01,19930,1780,SEA,"Seattle, WA",LAX,"Los Angeles, CA",700,652.0,-8.0,17.0,26.0,947,931.0,-16.0,0.0,,0.0,,,,,
38,2019-01-01,19930,1774,SEA,"Seattle, WA",LAX,"Los Angeles, CA",1815,1809.0,-6.0,14.0,14.0,2100,2041.0,-19.0,0.0,,0.0,,,,,
39,2019-01-01,19790,1947,HNL,"Honolulu, HI",SEA,"Seattle, WA",1405,1402.0,-3.0,17.0,15.0,2153,2151.0,-2.0,0.0,,0.0,,,,,
40,2019-01-01,19930,220,SEA,"Seattle, WA",LAX,"Los Angeles, CA",500,500.0,0.0,18.0,23.0,750,738.0,-12.0,0.0,,0.0,,,,,
41,2019-01-01,20304,5608,LAX,"Los Angeles, CA",SEA,"Seattle, WA",816,900.0,44.0,25.0,11.0,1129,1203.0,34.0,0.0,,0.0,34.0,0.0,0.0,0.0,0.0
42,2019-01-01,20304,5475,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1505,1554.0,49.0,27.0,7.0,1819,1852.0,33.0,0.0,,0.0,0.0,0.0,0.0,0.0,33.0
43,2019-01-01,20409,263,JFK,"New York, NY",SEA,"Seattle, WA",1744,1736.0,-8.0,17.0,31.0,2105,2107.0,2.0,0.0,,0.0,,,,,
44,2019-01-01,20409,63,JFK,"New York, NY",SEA,"Seattle, WA",844,840.0,-4.0,16.0,9.0,1206,1154.0,-12.0,0.0,,0.0,,,,,
45,2019-01-01,19930,426,SEA,"Seattle, WA",JFK,"New York, NY",735,733.0,-2.0,13.0,3.0,1549,1529.0,-20.0,0.0,,0.0,,,,,
47,2019-01-01,19930,349,JFK,"New York, NY",SEA,"Seattle, WA",1035,1031.0,-4.0,20.0,8.0,1408,1338.0,-30.0,0.0,,0.0,,,,,
50,2019-01-01,19805,2522,SEA,"Seattle, WA",JFK,"New York, NY",745,742.0,-3.0,19.0,8.0,1601,1543.0,-18.0,0.0,,0.0,,,,,
51,2019-01-01,20409,264,SEA,"Seattle, WA",JFK,"New York, NY",2215,2217.0,2.0,14.0,4.0,625,601.0,-24.0,0.0,,0.0,,,,,
52,2019-01-01,19790,2961,JFK,"New York, NY",SEA,"Seattle, WA",700,656.0,-4.0,18.0,14.0,1030,1009.0,-21.0,0.0,,0.0,,,,,
53,2019-01-01,19790,2218,SEA,"Seattle, WA",JFK,"New York, NY",750,747.0,-3.0,17.0,28.0,1600,1604.0,4.0,0.0,,0.0,,,,,
54,2019-01-01,19790,2205,JFK,"New York, NY",SEA,"Seattle, WA",1545,1542.0,-3.0,34.0,14.0,1911,1911.0,0.0,0.0,,0.0,,,,,
