FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY
20190401,19805,305,MIA,SEA,1958,2026,28,2354,6
20190401,20409,63,JFK,SEA,0822,0856,34,1234,42
20190401,20409,263,JFK,SEA,1714,1705,-9,2023,-28
20190401,20409,264,SEA,JFK,2201,2153,-8,0553,-33
20190401,20409,464,SEA,JFK,1302,1457,115,2241,67
20190401,19790,128,SEA,LAX,1029,1023,-6,1301,-16
20190401,19790,129,LAX,SEA,1159,1158,-1,1432,-22
20190401,19790,183,JFK,SEA,0710,0709,-1,1017,-18
20190401,19790,540,SEA,LAX,2050,2046,-4,2326,-2
20190401,19790,553,LAX,SEA,0929,0927,-2,1153,-33
20190401,19790,635,AUS,SEA,0615,0612,-3,0856,-4
20190401,19790,748,SEA,AUS,1750,1810,20,2352,1
20190401,19790,824,SEA,JFK,2243,2245,2,0643,-17
20190401,19790,1120,SEA,JFK,1545,1549,4,2350,-15
20190401,19790,1307,SEA,JFK,1130,1130,0,1940,-15
20190401,19790,1390,LAX,SEA,1407,1421,14,1644,-16
20190401,19790,1887,SEA,HNL,0825,0818,-7,1144,-12
20190401,19790,1890,LAX,SEA,0600,0558,-2,0844,-15
20190401,19790,1906,LAX,SEA,0750,0816,26,1055,10
20190401,19790,1947,HNL,SEA,1315,1313,-2,2205,3
20190401,19790,2107,SEA,LAX,1130,1131,1,1415,0
20190401,19790,2137,SEA,LAX,1357,1352,-5,1634,-3
20190401,19790,2153,SEA,LAX,0755,0755,0,1116,37
20190401,19790,2215,SEA,HNL,1732,1729,-3,2050,-13
20190401,19790,2218,HNL,SEA,2218,2210,-8,0640,-30
20190401,19790,2218,SEA,JFK,0740,0735,-5,1527,-39
20190401,19690,21,SEA,HNL,0900,0859,-1,1247,27
20190401,19690,22,HNL,SEA,1320,1322,2,2202,2
20190401,19790,2264,LAX,SEA,1510,1509,-1,1728,-35
20190401,19790,2281,LAX,SEA,2041,2152,71,0010,45
20190401,19790,2377,SEA,LAX,0600,0600,0,0836,-13
20190401,19790,2414,LAX,SEA,1705,1704,-1,1921,-37
20190401,19790,2432,LAX,SEA,1900,1857,-3,2146,-1
20190401,19790,2616,SEA,LAX,1715,1745,30,2032,36
20190401,19790,2627,SEA,LAX,1854,1849,-5,2120,-10
20190401,19790,2643,SEA,LAX,1515,1514,-1,1756,4
20190401,19790,2950,JFK,SEA,1815,1814,-1,2120,-25
20190401,19790,2955,JFK,SEA,1615,1613,-2,1931,-20
20190401,19790,2978,JFK,SEA,1125,1123,-2,1443,3
20190401,19930,7,JFK,SEA,0700,0654,-6,1031,6
20190401,19930,18,SEA,JFK,2200,2159,-1,0602,-23
20190401,19930,145,SEA,HNL,1735,1728,-7,2043,-22
20190401,19930,286,SEA,LAX,0500,0452,-8,0731,-19
20190401,19930,310,SEA,LAX,0800,0751,-9,1052,-3
20190401,19930,349,JFK,SEA,0900,0909,9,1244,19
20190401,19930,403,LAX,SEA,0600,0601,1,0838,-17
20190401,19930,424,SEA,LAX,1345,1402,17,1652,12
20190401,19930,426,SEA,JFK,1345,1342,-3,2152,-28
20190401,19930,428,SEA,LAX,1555,1546,-9,1838,-7
20190401,19930,439,LAX,SEA,1645,1640,-5,1908,-32
20190401,19930,442,SEA,LAX,0900,0926,26,1158,3
20190401,19930,457,LAX,SEA,1735,1735,0,2018,-12
20190401,19930,460,SEA,LAX,0700,0652,-8,0939,-11
20190401,19930,465,LAX,SEA,1155,1153,-2,1445,-5
20190401,19930,467,LAX,SEA,1940,1937,-3,2214,-21
20190401,19930,531,LAX,SEA,0855,0855,0,1128,-22
20190401,19930,628,SEA,JFK,0705,0700,-5,1458,-42
20190401,19930,818,HNL,SEA,2205,2210,5,0636,-14
20190401,19930,851,SEA,HNL,1205,1205,0,1604,29
20190401,19930,852,HNL,SEA,1335,1338,3,2219,-6
20190401,19930,853,SEA,HNL,0825,0827,2,1209,14
