FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME,ARR_TIME,ORIGIN_WIND_SPEED,ORIGIN_VISIBILITIES,DEST_WIND_SPEED,DEST_VISIBILITIES
2019-01-01,19930,1736,SEA,LAX,2150,18,4.60,10.00,9.20,10.00
2019-01-01,19930,1047,LAX,SEA,17,306,9.20,10.00,3.45,10.00
2019-01-01,19930,1043,LAX,SEA,1641,1929,8.05,10.00,0.00,9.00
2019-01-01,19930,1041,LAX,SEA,1404,1700,3.45,10.00,3.45,10.00
2019-01-01,19930,1039,LAX,SEA,1357,1645,5.75,10.00,0.00,9.00
2019-01-01,19930,1033,LAX,SEA,1223,1520,0.00,10.00,4.60,9.00
2019-01-01,19930,1031,LAX,SEA,943,1233,3.45,10.00,3.45,10.00
2019-01-01,19930,1013,LAX,SEA,549,848,3.45,10.00,0.00,7.00
2019-01-01,19930,1007,LAX,SEA,451,746,3.45,10.00,0.00,10.00
2019-01-01,19930,1144,SEA,AUS,1301,1854,4.60,10.00,11.50,10.00
2019-01-01,19930,1005,AUS,SEA,1945,2245,11.50,10.00,0.00,8.00
2019-01-01,19930,860,HNL,SEA,2316,705,,,0.00,10.00
2019-01-01,19930,859,SEA,HNL,700,1043,0.00,10.00,,
2019-01-01,19930,851,SEA,HNL,1140,1600,3.45,10.00,,
2019-01-01,19930,774,SEA,AUS,1739,7,4.60,9.00,,
2019-01-01,19930,551,LAX,SEA,1031,1320,0.00,10.00,5.75,10.00
2019-01-01,19930,467,LAX,SEA,1928,2220,0.00,10.00,6.90,10.00
2019-01-01,19930,453,LAX,SEA,658,957,4.60,10.00,4.60,10.00
2019-01-01,19930,444,SEA,LAX,1936,2155,3.45,9.00,17.25,10.00
2019-01-01,19930,893,SEA,HNL,1743,2155,5.75,9.00,,
2019-01-01,19930,439,LAX,SEA,1530,1840,0.00,10.00,3.45,9.00
2019-01-01,19930,1610,SEA,LAX,1744,2026,5.75,9.00,12.65,10.00
2019-01-01,19930,1754,SEA,LAX,558,829,5.75,10.00,3.45,10.00
2019-01-01,19977,1822,LAX,SEA,1934,2226,M,10.00,3.45,10.00
2019-01-01,19805,2312,SEA,MIA,1203,2045,0.00,10.00,10.35,10.00
2019-01-01,19805,2312,MIA,SEA,654,1037,8.05,10.00,5.75,10.00
2019-01-01,19690,28,HNL,SEA,2221,614,,,4.60,10.00
2019-01-01,19690,27,SEA,HNL,1133,1512,3.45,10.00,,
2019-01-01,19690,22,HNL,SEA,1427,2214,,,6.90,10.00
2019-01-01,19690,21,SEA,HNL,835,1218,0.00,8.00,,
2019-01-01,20409,464,SEA,JFK,1309,2104,4.60,10.00,19.55,10.00
2019-01-01,19930,1746,SEA,LAX,2039,2300,0.00,10.00,14.95,10.00
2019-01-01,20409,264,SEA,JFK,2217,601,6.90,10.00,17.25,10.00
2019-01-01,20409,63,JFK,SEA,840,1154,17.25,10.00,4.60,10.00
2019-01-01,19930,1797,LAX,SEA,1751,2052,8.05,10.00,0.00,10.00
2019-01-01,19930,1784,SEA,LAX,1033,1255,5.75,10.00,0.00,10.00
2019-01-01,19930,1781,LAX,SEA,910,1206,4.60,10.00,0.00,10.00
2019-01-01,19930,1780,SEA,LAX,652,931,4.60,10.00,3.45,10.00
2019-01-01,19930,1774,SEA,LAX,1809,2041,3.45,8.00,8.05,10.00
2019-01-01,19930,1760,SEA,LAX,804,1038,0.00,10.00,3.45,10.00
2019-01-01,19930,1756,SEA,LAX,851,1121,0.00,7.00,4.60,10.00
2019-01-01,20409,263,JFK,SEA,1736,2107,18.40,10.00,3.45,10.00
2019-01-01,19930,432,SEA,LAX,1141,1414,3.45,10.00,0.00,10.00
2019-01-01,19930,864,HNL,SEA,1429,2226,,,3.45,10.00
2019-01-01,19930,426,SEA,JFK,733,1529,0.00,10.00,23.00,10.00
2019-01-01,19790,1947,HNL,SEA,1402,2151,,,4.60,10.00
2019-01-01,19790,1665,SEA,LAX,1342,1604,3.45,10.00,0.00,M
2019-01-01,19790,1619,LAX,SEA,1457,1740,0.00,M,4.60,9.00
2019-01-01,19790,1574,SEA,LAX,1209,1433,3.45,10.00,4.60,10.00
2019-01-01,19790,1542,SEA,JFK,1550,2353,3.45,9.00,17.25,10.00
2019-01-01,19790,1538,LAX,SEA,958,1250,3.45,10.00,3.45,10.00
2019-01-01,19930,428,SEA,LAX,1459,1719,0.00,9.00,5.75,10.00
2019-01-01,19790,1342,SEA,AUS,1232,1824,3.45,10.00,12.65,10.00
2019-01-01,19790,2080,SEA,LAX,751,1010,0.00,10.00,4.60,10.00
2019-01-01,19790,1342,AUS,SEA,1922,2129,13.80,10.00,3.45,10.00
2019-01-01,19790,1256,LAX,SEA,1707,1950,5.75,10.00,3.45,8.00
2019-01-01,19790,1181,LAX,SEA,2045,2326,8.05,10.00,0.00,8.00
2019-01-01,19790,1078,LAX,SEA,738,1029,3.45,10.00,4.60,10.00
2019-01-01,19790,942,SEA,HNL,1731,2119,0.00,9.00,,
2019-01-01,19790,915,SEA,HNL,803,1142,0.00,10.00,,
2019-01-01,19790,702,SEA,LAX,1907,2125,0.00,10.00,11.50,10.00
2019-01-01,19790,129,LAX,SEA,1134,1428,4.60,10.00,3.45,9.00
2019-01-01,19790,128,SEA,LAX,932,1201,5.75,7.00,4.60,10.00
2019-01-01,19790,1314,JFK,SEA,1827,2208,14.95,10.00,8.05,10.00
2019-01-01,19790,2190,SEA,LAX,1117,1343,3.45,10.00,0.00,10.00
2019-01-01,19790,1380,LAX,SEA,1259,1557,0.00,10.00,0.00,8.00
2019-01-01,19930,424,SEA,LAX,1358,1626,4.60,10.00,3.45,10.00
2019-01-01,19790,2205,JFK,SEA,1542,1911,23.00,10.00,3.45,10.00
2019-01-01,19930,359,JFK,SEA,1829,2207,17.25,10.00,6.90,10.00
2019-01-01,19930,349,JFK,SEA,1031,1338,19.55,10.00,3.45,10.00
2019-01-01,19930,220,SEA,LAX,500,738,4.60,10.00,3.45,10.00
2019-01-01,19930,163,AUS,SEA,609,814,6.90,10.00,,
2019-01-01,19930,18,SEA,JFK,2142,555,0.00,9.00,13.80,10.00
2019-01-01,19805,1445,JFK,SEA,1929,2247,18.40,10.00,0.00,8.00
2019-01-01,19805,2522,SEA,JFK,742,1543,0.00,10.00,27.60,10.00
2019-01-01,20304,5608,LAX,SEA,900,1203,4.60,10.00,0.00,10.00
2019-01-01,19805,1471,SEA,MIA,2127,600,3.45,10.00,5.75,10.00
2019-01-01,20304,5384,SEA,LAX,1234,1504,3.45,10.00,3.45,M
2019-01-01,20304,5475,LAX,SEA,1554,1852,0.00,M,3.45,10.00
2019-01-01,19790,2218,SEA,JFK,747,1604,0.00,10.00,23.00,10.00
2019-01-01,19790,2266,SEA,LAX,1532,1804,3.45,9.00,9.20,10.00
2019-01-01,19790,2590,SEA,JFK,2258,658,0.00,8.00,17.25,10.00
2019-01-01,19790,2218,HNL,SEA,2303,656,,,3.45,10.00
2019-01-01,19805,305,MIA,SEA,2001,2341,10.35,10.00,0.00,9.00
2019-01-01,20304,5191,SEA,LAX,1924,2154,3.45,9.00,17.25,10.00
2019-01-01,19790,2961,JFK,SEA,656,1009,17.25,10.00,4.60,10.00
2019-01-02,19930,444,SEA,LAX,2044,2331,9.20,10.00,9.20,10.00
2019-01-02,19930,864,HNL,SEA,1438,2227,,,4.60,8.00
2019-01-02,19930,860,HNL,SEA,2316,700,,,9.20,10.00
2019-01-02,19930,859,SEA,HNL,700,1106,9.20,10.00,,
2019-01-02,19930,851,SEA,HNL,1133,1544,6.90,10.00,,
2019-01-02,19930,774,SEA,AUS,1800,4,6.90,10.00,,
2019-01-02,19930,551,LAX,SEA,1044,1336,0.00,10.00,8.05,10.00
2019-01-02,19930,467,LAX,SEA,1929,2225,0.00,10.00,4.60,8.00
2019-01-02,19930,453,LAX,SEA,652,942,4.60,10.00,4.60,10.00
2019-01-02,19930,439,LAX,SEA,1539,1835,5.75,10.00,8.05,10.00
2019-01-02,19805,1471,SEA,MIA,2123,557,11.50,10.00,8.05,10.00
2019-01-02,19930,428,SEA,LAX,1452,1730,8.05,10.00,6.90,10.00
2019-01-02,19930,426,SEA,JFK,735,1535,5.75,10.00,5.75,10.00
2019-01-02,19930,424,SEA,LAX,1359,1628,6.90,10.00,6.90,M
2019-01-02,19930,359,JFK,SEA,1835,2218,5.75,10.00,5.75,9.00
2019-01-02,19930,349,JFK,SEA,1029,1330,4.60,10.00,6.90,10.00
2019-01-02,19930,220,SEA,LAX,455,745,5.75,10.00,5.75,10.00
2019-01-02,19930,163,AUS,SEA,607,831,12.65,6.00,5.75,10.00
2019-01-02,19930,18,SEA,JFK,2148,558,10.35,10.00,5.75,10.00
2019-01-02,19930,894,HNL,SEA,1203,1958,,,12.65,10.00
2019-01-02,19930,432,SEA,LAX,1143,1406,9.20,10.00,3.45,10.00
2019-01-02,19930,1005,AUS,SEA,1918,2148,12.65,7.00,10.35,10.00
2019-01-02,19930,893,SEA,HNL,1742,2156,8.05,10.00,,
2019-01-02,19930,1013,LAX,SEA,608,913,5.75,10.00,5.75,10.00
2019-01-02,19805,1445,JFK,SEA,1836,2208,5.75,10.00,6.90,10.00
2019-01-02,19930,1797,LAX,SEA,1746,2109,4.60,10.00,10.35,10.00
2019-01-02,19930,1784,SEA,LAX,1019,1257,8.05,10.00,0.00,10.00
2019-01-02,19930,1781,LAX,SEA,806,1104,3.45,10.00,5.75,10.00
2019-01-02,19930,1780,SEA,LAX,653,922,9.20,10.00,0.00,10.00
2019-01-02,19930,1774,SEA,LAX,1810,2049,10.35,10.00,5.75,10.00
2019-01-02,19930,1760,SEA,LAX,803,1047,3.45,10.00,0.00,10.00
2019-01-02,19930,1756,SEA,LAX,857,1142,4.60,10.00,0.00,10.00
2019-01-02,19930,1754,SEA,LAX,556,851,8.05,10.00,5.75,10.00
2019-01-02,19930,1746,SEA,LAX,2038,2309,12.65,10.00,11.50,10.00
