FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
12/1/2019 12:00:00 AM,19690,21,SEA,"Seattle, WA",HNL,"Honolulu, HI",0905,0910,5.00,13.00,5.00,1330,1236,-54.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,19690,22,HNL,"Honolulu, HI",SEA,"Seattle, WA",1420,1420,0.00,21.00,7.00,2205,2236,31.00,0.00,,0.00,31.00,0.00,0.00,0.00,0.00
12/1/2019 12:00:00 AM,19690,29,SEA,"Seattle, WA",OGG,"Kahului, HI",1000,1003,3.00,26.00,7.00,1430,1343,-47.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,19690,30,OGG,"Kahului, HI",SEA,"Seattle, WA",1610,1607,-3.00,13.00,16.00,2335,0014,39.00,0.00,,0.00,39.00,0.00,0.00,0.00,0.00
12/1/2019 12:00:00 AM,20368,686,PSC,"Pasco/Kennewick/Richland, WA",AZA,"Phoenix, AZ",1733,1733,0.00,10.00,8.00,2057,2100,3.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,20368,707,BLI,"Bellingham, WA",LAS,"Las Vegas, NV",1744,1730,-14.00,8.00,6.00,2013,1959,-14.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,20368,733,LAS,"Las Vegas, NV",BLI,"Bellingham, WA",1109,1131,22.00,22.00,7.00,1350,1357,7.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,20368,84,PSC,"Pasco/Kennewick/Richland, WA",LAS,"Las Vegas, NV",2022,2038,16.00,11.00,5.00,2224,2245,21.00,0.00,,0.00,0.00,0.00,5.00,0.00,16.00
12/1/2019 12:00:00 AM,20368,687,AZA,"Phoenix, AZ",PSC,"Pasco/Kennewick/Richland, WA",1505,1511,6.00,18.00,4.00,1643,1640,-3.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,20368,712,LAS,"Las Vegas, NV",BLI,"Bellingham, WA",1420,1416,-4.00,15.00,8.00,1659,1638,-21.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,20368,724,BLI,"Bellingham, WA",LAS,"Las Vegas, NV",0800,0753,-7.00,15.00,7.00,1029,1026,-3.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,20368,82,LAS,"Las Vegas, NV",PSC,"Pasco/Kennewick/Richland, WA",1719,1752,33.00,14.00,5.00,1937,1953,16.00,0.00,,0.00,0.00,0.00,0.00,0.00,16.00
12/1/2019 12:00:00 AM,20368,737,PSP,"Palm Springs, CA",BLI,"Bellingham, WA",1804,1803,-1.00,10.00,7.00,2056,2033,-23.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,20368,711,LAS,"Las Vegas, NV",BLI,"Bellingham, WA",2053,2047,-6.00,15.00,4.00,2334,2311,-23.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,20368,701,BLI,"Bellingham, WA",LAS,"Las Vegas, NV",0730,0725,-5.00,11.00,5.00,0959,0955,-4.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,19930,1,DCA,"Washington, DC",SEA,"Seattle, WA",0800,0752,-8.00,16.00,37.00,1105,1040,-25.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,19930,2,SEA,"Seattle, WA",DCA,"Washington, DC",1355,1414,19.00,12.00,4.00,2158,2201,3.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,19930,3,DCA,"Washington, DC",SEA,"Seattle, WA",1710,1745,35.00,20.00,11.00,2016,2008,-8.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,19930,4,SEA,"Seattle, WA",DCA,"Washington, DC",0805,0821,16.00,35.00,4.00,1605,1636,31.00,0.00,,0.00,16.00,0.00,15.00,0.00,0.00
12/1/2019 12:00:00 AM,19930,7,JFK,"New York, NY",SEA,"Seattle, WA",0730,0729,-1.00,34.00,16.00,1057,1028,-29.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,19930,8,SEA,"Seattle, WA",EWR,"Newark, NJ",0820,1041,141.00,27.00,12.00,1639,1948,189.00,0.00,,0.00,0.00,0.00,189.00,0.00,0.00
12/1/2019 12:00:00 AM,19930,9,MCO,"Orlando, FL",SEA,"Seattle, WA",0715,0711,-4.00,21.00,6.00,1047,1108,21.00,0.00,,0.00,0.00,0.00,21.00,0.00,0.00
12/1/2019 12:00:00 AM,19930,10,SEA,"Seattle, WA",FLL,"Fort Lauderdale, FL",0920,0913,-7.00,22.00,8.00,1805,1738,-27.00,0.00,,0.00,,,,,
12/1/2019 12:00:00 AM,19930,11,EWR,"Newark, NJ",SEA,"Seattle, WA",1635,1821,106.00,26.00,11.00,1957,2109,72.00,0.00,,0.00,0.00,0.00,0.00,0.00,72.00
