FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
7/1/2019 12:00:00 AM,20416,1914,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1156,1326,90.00,20.00,10.00,1425,1603,98.00,0.00,,0.00,0.00,0.00,10.00,0.00,88.00
7/1/2019 12:00:00 AM,20416,193,LAS,"Las Vegas, NV",SEA,"Seattle, WA",1131,1415,164.00,17.00,15.00,1412,1648,156.00,0.00,,0.00,30.00,0.00,1.00,0.00,125.00
7/1/2019 12:00:00 AM,19805,2727,SEA,"Seattle, WA",DFW,"Dallas/Fort Worth, TX",0140,0606,266.00,24.00,4.00,0732,1154,262.00,0.00,,0.00,10.00,0.00,0.00,0.00,252.00
7/1/2019 12:00:00 AM,19805,699,PHX,"Phoenix, AZ",GEG,"Spokane, WA",2018,2018,0.00,16.00,3.00,2253,2246,-7.00,0.00,,0.00,,,,,
7/1/2019 12:00:00 AM,19805,710,PHX,"Phoenix, AZ",SEA,"Seattle, WA",1030,1127,57.00,12.00,6.00,1340,1409,29.00,0.00,,0.00,29.00,0.00,0.00,0.00,0.00
7/1/2019 12:00:00 AM,20368,1012,BLI,"Bellingham, WA",OAK,"Oakland, CA",0945,0937,-8.00,9.00,5.00,1151,1143,-8.00,0.00,,0.00,,,,,
7/1/2019 12:00:00 AM,20368,702,BLI,"Bellingham, WA",LAS,"Las Vegas, NV",0800,0753,-7.00,14.00,6.00,1030,1028,-2.00,0.00,,0.00,,,,,
7/1/2019 12:00:00 AM,20368,707,LAS,"Las Vegas, NV",BLI,"Bellingham, WA",1839,1832,-7.00,14.00,10.00,2115,2059,-16.00,0.00,,0.00,,,,,
7/1/2019 12:00:00 AM,19805,1627,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",0600,0556,-4.00,18.00,16.00,0814,0802,-12.00,0.00,,0.00,,,,,
7/1/2019 12:00:00 AM,19805,1644,SEA,"Seattle, WA",DFW,"Dallas/Fort Worth, TX",0928,0923,-5.00,19.00,11.00,1525,1528,3.00,0.00,,0.00,,,,,
7/1/2019 12:00:00 AM,19805,2586,SEA,"Seattle, WA",ORD,"Chicago, IL",2340,2354,14.00,14.00,9.00,0538,0537,-1.00,0.00,,0.00,,,,,
7/1/2019 12:00:00 AM,19805,2240,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",1224,1219,-5.00,13.00,8.00,1440,1407,-33.00,0.00,,0.00,,,,,
7/1/2019 12:00:00 AM,20368,57,LAS,"Las Vegas, NV",PSC,"Pasco/Kennewick/Richland, WA",1819,1837,18.00,17.00,6.00,2029,2049,20.00,0.00,,0.00,18.00,0.00,2.00,0.00,0.00
7/1/2019 12:00:00 AM,20368,15,BLI,"Bellingham, WA",LAS,"Las Vegas, NV",1827,1843,16.00,13.00,4.00,2057,2112,15.00,0.00,,0.00,15.00,0.00,0.00,0.00,0.00
7/1/2019 12:00:00 AM,20416,375,LAS,"Las Vegas, NV",SEA,"Seattle, WA",0832,1017,105.00,12.00,11.00,1111,1239,88.00,0.00,,0.00,0.00,0.00,0.00,0.00,88.00
7/1/2019 12:00:00 AM,20416,378,SEA,"Seattle, WA",IAH,"Houston, TX",0055,0047,-8.00,13.00,7.00,0704,0654,-10.00,0.00,,0.00,,,,,
7/1/2019 12:00:00 AM,20416,726,SEA,"Seattle, WA",LAS,"Las Vegas, NV",2010,1959,-11.00,24.00,6.00,2239,2233,-6.00,0.00,,0.00,,,,,
