FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
11/1/2019 12:00:00 AM,19805,560,CLT,"Charlotte, NC",SEA,"Seattle, WA",0730,0731,1.00,12.00,14.00,1015,1004,-11.00,0.00,,0.00,,,,,
11/1/2019 12:00:00 AM,19805,560,SEA,"Seattle, WA",CLT,"Charlotte, NC",1115,1126,11.00,24.00,7.00,1918,1911,-7.00,0.00,,0.00,,,,,
11/1/2019 12:00:00 AM,19805,564,SEA,"Seattle, WA",PHL,"Philadelphia, PA",2240,2335,55.00,14.00,5.00,0637,0718,41.00,0.00,,0.00,16.00,0.00,0.00,0.00,25.00
11/1/2019 12:00:00 AM,19805,578,PHX,"Phoenix, AZ",SEA,"Seattle, WA",1715,1712,-3.00,12.00,10.00,2027,2022,-5.00,0.00,,0.00,,,,,
11/1/2019 12:00:00 AM,19805,600,CLT,"Charlotte, NC",SEA,"Seattle, WA",1909,1914,5.00,14.00,30.00,2153,2214,21.00,0.00,,0.00,0.00,0.00,16.00,0.00,5.00
11/1/2019 12:00:00 AM,19393,2734,BOI,"Boise, ID",GEG,"Spokane, WA",1545,1603,18.00,8.00,4.00,1545,1606,21.00,0.00,,0.00,2.00,0.00,3.00,0.00,16.00
11/1/2019 12:00:00 AM,19393,2269,BWI,"Baltimore, MD",SEA,"Seattle, WA",1045,1045,0.00,11.00,12.00,1340,1325,-15.00,0.00,,0.00,,,,,
11/1/2019 12:00:00 AM,19393,12,DAL,"Dallas, TX",SEA,"Seattle, WA",1055,1104,9.00,7.00,7.00,1325,1316,-9.00,0.00,,0.00,,,,,
11/1/2019 12:00:00 AM,19393,2219,DEN,"Denver, CO",GEG,"Spokane, WA",2145,2204,19.00,12.00,4.00,2305,2326,21.00,0.00,,0.00,19.00,0.00,2.00,0.00,0.00
11/1/2019 12:00:00 AM,19393,746,DEN,"Denver, CO",SEA,"Seattle, WA",2145,2158,13.00,13.00,11.00,2340,2347,7.00,0.00,,0.00,,,,,
11/1/2019 12:00:00 AM,19393,786,DEN,"Denver, CO",SEA,"Seattle, WA",1420,1419,-1.00,12.00,9.00,1625,1620,-5.00,0.00,,0.00,,,,,
11/1/2019 12:00:00 AM,19393,1210,DEN,"Denver, CO",SEA,"Seattle, WA",1000,1000,0.00,19.00,7.00,1215,1202,-13.00,0.00,,0.00,,,,,
11/1/2019 12:00:00 AM,19393,2473,DEN,"Denver, CO",SEA,"Seattle, WA",1720,1738,18.00,13.00,6.00,1915,1929,14.00,0.00,,0.00,,,,,
11/1/2019 12:00:00 AM,19393,554,GEG,"Spokane, WA",BOI,"Boise, ID",1505,1510,5.00,8.00,2.00,1705,1700,-5.00,0.00,,0.00,,,,,
