FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
10/1/2019 12:00:00 AM,19805,1079,SEA,"Seattle, WA",DFW,"Dallas/Fort Worth, TX",1200,1156,-4.00,23.00,36.00,1756,1823,27.00,0.00,,0.00,0.00,0.00,27.00,0.00,0.00
10/1/2019 12:00:00 AM,19805,1165,ORD,"Chicago, IL",SEA,"Seattle, WA",1358,1357,-1.00,18.00,10.00,1640,1621,-19.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19805,1241,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",1925,1919,-6.00,19.00,32.00,2149,2142,-7.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19805,1667,SEA,"Seattle, WA",DFW,"Dallas/Fort Worth, TX",0730,0726,-4.00,37.00,12.00,1332,1345,13.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,291,MDW,"Chicago, IL",SEA,"Seattle, WA",2000,2036,36.00,21.00,14.00,2235,2317,42.00,0.00,,0.00,36.00,0.00,6.00,0.00,0.00
10/1/2019 12:00:00 AM,19393,1169,MDW,"Chicago, IL",SEA,"Seattle, WA",0615,0608,-7.00,7.00,7.00,0850,0838,-12.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,1407,MDW,"Chicago, IL",SEA,"Seattle, WA",1005,1138,93.00,6.00,8.00,1240,1348,68.00,0.00,,0.00,68.00,0.00,0.00,0.00,0.00
10/1/2019 12:00:00 AM,19393,1355,OAK,"Oakland, CA",GEG,"Spokane, WA",1030,1029,-1.00,7.00,5.00,1230,1227,-3.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,1943,OAK,"Oakland, CA",GEG,"Spokane, WA",2140,2137,-3.00,13.00,3.00,2335,2332,-3.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,1354,OAK,"Oakland, CA",SEA,"Seattle, WA",1405,1404,-1.00,11.00,9.00,1610,1609,-1.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,1552,OAK,"Oakland, CA",SEA,"Seattle, WA",1240,1241,1.00,14.00,4.00,1450,1443,-7.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,1799,OAK,"Oakland, CA",SEA,"Seattle, WA",1635,1632,-3.00,9.00,7.00,1845,1828,-17.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,2046,OAK,"Oakland, CA",SEA,"Seattle, WA",1035,1043,8.00,8.00,8.00,1240,1247,7.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,2165,OAK,"Oakland, CA",SEA,"Seattle, WA",2130,2125,-5.00,10.00,16.00,2335,2330,-5.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,2396,OAK,"Oakland, CA",SEA,"Seattle, WA",0645,0644,-1.00,10.00,6.00,0855,0851,-4.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,519,PHX,"Phoenix, AZ",SEA,"Seattle, WA",2040,2038,-2.00,9.00,24.00,2340,2350,10.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,668,PHX,"Phoenix, AZ",SEA,"Seattle, WA",0850,0904,14.00,28.00,10.00,1200,1209,9.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,1473,PHX,"Phoenix, AZ",SEA,"Seattle, WA",1605,1603,-2.00,9.00,11.00,1915,1850,-25.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,1627,PHX,"Phoenix, AZ",SEA,"Seattle, WA",0615,0614,-1.00,13.00,6.00,0920,0904,-16.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,174,SAN,"San Diego, CA",SEA,"Seattle, WA",1335,1340,5.00,10.00,4.00,1635,1626,-9.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,497,SEA,"Seattle, WA",BWI,"Baltimore, MD",1155,1158,3.00,25.00,8.00,2010,1956,-14.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,2310,SEA,"Seattle, WA",DAL,"Dallas, TX",1400,1406,6.00,20.00,3.00,2005,2000,-5.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,673,SEA,"Seattle, WA",DEN,"Denver, CO",0840,0840,0.00,12.00,6.00,1225,1215,-10.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,1408,SEA,"Seattle, WA",DEN,"Denver, CO",1340,1434,54.00,12.00,7.00,1725,1810,45.00,0.00,,0.00,0.00,0.00,0.00,0.00,45.00
10/1/2019 12:00:00 AM,19393,1473,SEA,"Seattle, WA",DEN,"Denver, CO",1950,1946,-4.00,14.00,4.00,2320,2312,-8.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,1847,SEA,"Seattle, WA",DEN,"Denver, CO",0610,0607,-3.00,14.00,8.00,0940,0948,8.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,887,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1845,1846,1.00,14.00,3.00,2110,2048,-22.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,1850,SEA,"Seattle, WA",LAS,"Las Vegas, NV",0725,0738,13.00,21.00,4.00,0950,0955,5.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,2058,SEA,"Seattle, WA",LAS,"Las Vegas, NV",1230,1228,-2.00,14.00,4.00,1515,1441,-34.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,668,SEA,"Seattle, WA",MCI,"Kansas City, MO",1240,1308,28.00,14.00,3.00,1810,1831,21.00,0.00,,0.00,14.00,0.00,0.00,0.00,7.00
10/1/2019 12:00:00 AM,19393,1381,SEA,"Seattle, WA",MDW,"Chicago, IL",1535,1534,-1.00,19.00,4.00,2145,2136,-9.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,1465,SEA,"Seattle, WA",MDW,"Chicago, IL",1745,1742,-3.00,22.00,4.00,2340,2345,5.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,5521,SEA,"Seattle, WA",MDW,"Chicago, IL",0640,0639,-1.00,15.00,3.00,1240,1224,-16.00,0.00,,0.00,,,,,
10/1/2019 12:00:00 AM,19393,686,SEA,"Seattle, WA",OAK,"Oakland, CA",1640,1646,6.00,12.00,4.00,1840,1830,-10.00,0.00,,0.00,,,,,
