FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
9/1/2019 12:00:00 AM,19805,304,DFW,"Dallas/Fort Worth, TX",GEG,"Spokane, WA",1045,1209,84.00,12.00,4.00,1230,1334,64.00,0.00,,0.00,6.00,0.00,0.00,0.00,58.00
9/1/2019 12:00:00 AM,19805,305,MIA,"Miami, FL",SEA,"Seattle, WA",2034,2031,-3.00,27.00,35.00,2358,0010,12.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,19805,368,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",1454,1458,4.00,22.00,7.00,1704,1703,-1.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,19805,368,SEA,"Seattle, WA",DFW,"Dallas/Fort Worth, TX",1759,1756,-3.00,22.00,10.00,2356,2346,-10.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,19805,384,SEA,"Seattle, WA",PHX,"Phoenix, AZ",0800,0803,3.00,31.00,5.00,1102,1059,-3.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,19805,1350,GEG,"Spokane, WA",PHX,"Phoenix, AZ",1345,1400,15.00,13.00,5.00,1622,1625,3.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,19805,1954,SEA,"Seattle, WA",CLT,"Charlotte, NC",0600,0554,-6.00,24.00,12.00,1405,1346,-19.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,19805,2009,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",1653,1646,-7.00,32.00,8.00,1909,1900,-9.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,19805,2062,CLT,"Charlotte, NC",SEA,"Seattle, WA",1639,1801,82.00,14.00,7.00,1922,2018,56.00,0.00,,0.00,56.00,0.00,0.00,0.00,0.00
9/1/2019 12:00:00 AM,19805,2113,SEA,"Seattle, WA",PHL,"Philadelphia, PA",0800,0756,-4.00,33.00,18.00,1618,1605,-13.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,20416,441,ORD,"Chicago, IL",SEA,"Seattle, WA",2150,2151,1.00,13.00,9.00,0017,0012,-5.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,20416,442,SEA,"Seattle, WA",ORD,"Chicago, IL",2336,0009,33.00,11.00,21.00,0537,0546,9.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,20416,569,SEA,"Seattle, WA",DTW,"Detroit, MI",1037,1113,36.00,18.00,8.00,1753,1809,16.00,0.00,,0.00,9.00,0.00,7.00,0.00,0.00
9/1/2019 12:00:00 AM,20416,726,SEA,"Seattle, WA",LAS,"Las Vegas, NV",2012,2002,-10.00,20.00,25.00,2236,2248,12.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,20416,739,DFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA",2032,2054,22.00,30.00,15.00,2243,2308,25.00,0.00,,0.00,0.00,0.00,0.00,0.00,25.00
9/1/2019 12:00:00 AM,20416,740,SEA,"Seattle, WA",DFW,"Dallas/Fort Worth, TX",0600,0705,65.00,13.00,11.00,1150,1241,51.00,0.00,,0.00,51.00,0.00,0.00,0.00,0.00
9/1/2019 12:00:00 AM,20409,2506,LGB,"Long Beach, CA",SEA,"Seattle, WA",1056,1053,-3.00,10.00,8.00,1338,1316,-22.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,20409,2507,SEA,"Seattle, WA",LGB,"Long Beach, CA",1418,1412,-6.00,22.00,2.00,1703,1652,-11.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,20409,498,SEA,"Seattle, WA",BOS,"Boston, MA",0025,0031,6.00,12.00,9.00,0844,0825,-19.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,20409,197,BOS,"Boston, MA",SEA,"Seattle, WA",1948,1954,6.00,18.00,6.00,2314,2307,-7.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,20409,263,JFK,"New York, NY",SEA,"Seattle, WA",1730,1731,1.00,24.00,17.00,2116,2050,-26.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,20409,264,SEA,"Seattle, WA",JFK,"New York, NY",2226,2250,24.00,15.00,7.00,0652,0653,1.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,20409,63,JFK,"New York, NY",SEA,"Seattle, WA",0843,0845,2.00,12.00,56.00,1208,1229,21.00,0.00,,0.00,2.00,0.00,19.00,0.00,0.00
9/1/2019 12:00:00 AM,20409,464,SEA,"Seattle, WA",JFK,"New York, NY",1318,1338,20.00,26.00,11.00,2200,2148,-12.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,20409,597,BOS,"Boston, MA",SEA,"Seattle, WA",0718,0742,24.00,12.00,7.00,1038,1121,43.00,0.00,,0.00,0.00,0.00,43.00,0.00,0.00
9/1/2019 12:00:00 AM,20409,598,SEA,"Seattle, WA",BOS,"Boston, MA",1148,1218,30.00,28.00,5.00,2021,2016,-5.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,19790,128,SEA,"Seattle, WA",LAX,"Los Angeles, CA",0930,0927,-3.00,15.00,7.00,1213,1202,-11.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,19790,129,LAX,"Los Angeles, CA",SEA,"Seattle, WA",1305,1303,-2.00,11.00,6.00,1555,1522,-33.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,19790,182,SEA,"Seattle, WA",JFK,"New York, NY",1120,1116,-4.00,18.00,33.00,1947,1929,-18.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,19790,183,JFK,"New York, NY",SEA,"Seattle, WA",0705,0702,-3.00,18.00,8.00,1014,0955,-19.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,19790,326,ANC,"Anchorage, AK",SEA,"Seattle, WA",0800,0817,17.00,9.00,9.00,1228,1226,-2.00,0.00,,0.00,,,,,
9/1/2019 12:00:00 AM,19790,331,SEA,"Seattle, WA",JNU,"Juneau, AK",2040,2157,77.00,24.00,3.00,2211,2328,77.00,0.00,,0.00,77.00,0.00,0.00,0.00,0.00
9/1/2019 12:00:00 AM,19790,332,GEG,"Spokane, WA",SEA,"Seattle, WA",0545,0536,-9.00,10.00,8.00,0649,0635,-14.00,0.00,,0.00,,,,,
