FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,ORIGIN_WIND_SPEED,ORIGIN_VISIBILITIES,DEST_WIND_SPEED,DEST_VISIBILITIES
2019-01-01,19930,1736,SEA,LAX,2150,0,18,-14.0,4.60,10.00,9.20,10.00
2019-01-01,19930,1047,LAX,SEA,17,42,306,34.0,9.20,10.00,3.45,10.00
2019-01-01,19930,1043,LAX,SEA,1641,1,1929,-7.0,8.05,10.00,0.00,9.00
2019-01-01,19930,1041,LAX,SEA,1404,-11,1700,-10.0,3.45,10.00,3.45,10.00
2019-01-01,19930,1039,LAX,SEA,1357,52,1645,45.0,5.75,10.00,0.00,9.00
2019-01-01,19930,1033,LAX,SEA,1223,28,1520,30.0,0.00,10.00,4.60,9.00
2019-01-01,19930,1031,LAX,SEA,943,-7,1233,-12.0,3.45,10.00,3.45,10.00
2019-01-01,19930,1013,LAX,SEA,549,-11,848,-7.0,3.45,10.00,0.00,7.00
2019-01-01,19930,1007,LAX,SEA,451,-9,746,-11.0,3.45,10.00,0.00,10.00
2019-01-01,19930,1144,SEA,AUS,1301,56,1854,49.0,4.60,10.00,11.50,10.00
2019-01-01,19930,1005,AUS,SEA,1945,30,2245,45.0,11.50,10.00,0.00,8.00
2019-01-01,19930,860,HNL,SEA,2316,-9,705,-13.0,,,0.00,10.00
2019-01-01,19930,859,SEA,HNL,700,0,1043,-59.0,0.00,10.00,,
2019-01-01,19930,851,SEA,HNL,1140,0,1600,-22.0,3.45,10.00,,
2019-01-01,19930,774,SEA,AUS,1739,-6,7,33.0,4.60,9.00,,
2019-01-01,19930,551,LAX,SEA,1031,-9,1320,-21.0,0.00,10.00,5.75,10.00
2019-01-01,19930,467,LAX,SEA,1928,-6,2220,-10.0,0.00,10.00,6.90,10.00
2019-01-01,19930,453,LAX,SEA,658,-2,957,-4.0,4.60,10.00,4.60,10.00
2019-01-01,19930,444,SEA,LAX,1936,-4,2155,-31.0,3.45,9.00,17.25,10.00
2019-01-01,19930,893,SEA,HNL,1743,-5,2155,-30.0,5.75,9.00,,
2019-01-01,19930,439,LAX,SEA,1530,-10,1840,4.0,0.00,10.00,3.45,9.00
2019-01-01,19930,1610,SEA,LAX,1744,34,2026,34.0,5.75,9.00,12.65,10.00
