FL_DATE,OP_CARRIER_AIRLINE_ID,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,ORIGIN_WIND_SPEED,ORIGIN_VISIBILITIES,DEST_WIND_SPEED,DEST_VISIBILITIES
4/1/19 0:00,19805,305,MIA,SEA,2026,28,2354,6,9.20,10.00,10.35,10.00
4/1/19 0:00,20409,63,JFK,SEA,856,34,1234,42,23.00,10.00,8.05,10.00
4/1/19 0:00,20409,263,JFK,SEA,1705,-9,2023,-28,17.25,10.00,9.20,10.00
4/1/19 0:00,20409,264,SEA,JFK,2153,-8,553,-33,9.20,10.00,21.85,10.00
4/1/19 0:00,20409,464,SEA,JFK,1457,115,2241,67,10.35,10.00,5.75,10.00
4/1/19 0:00,19790,128,SEA,LAX,1023,-6,1301,-16,12.65,10.00,0.00,10.00
4/1/19 0:00,19790,129,LAX,SEA,1158,-1,1432,-22,0.00,10.00,10.35,10.00
4/1/19 0:00,19790,183,JFK,SEA,709,-1,1017,-18,19.55,10.00,12.65,10.00
4/1/19 0:00,19790,540,SEA,LAX,2046,-4,2326,-2,9.20,10.00,10.35,10.00
4/1/19 0:00,19790,553,LAX,SEA,927,-2,1153,-33,4.60,10.00,5.75,10.00
4/1/19 0:00,19790,635,AUS,SEA,612,-3,856,-4,5.75,10.00,12.65,10.00
4/1/19 0:00,19790,748,SEA,AUS,1810,20,2352,1,10.35,10.00,2.30,10.00
4/1/19 0:00,19790,824,SEA,JFK,2245,2,643,-17,8.05,10.00,18.40,10.00
4/1/19 0:00,19790,1120,SEA,JFK,1549,4,2350,-15,10.35,10.00,4.60,10.00
4/1/19 0:00,19790,1307,SEA,JFK,1130,0,1940,-15,8.05,10.00,10.35,10.00
4/1/19 0:00,19790,1390,LAX,SEA,1421,14,1644,-16,0.00,10.00,11.50,10.00
4/1/19 0:00,19790,1887,SEA,HNL,818,-7,1144,-12,11.50,10.00,,
4/1/19 0:00,19790,1890,LAX,SEA,558,-2,844,-15,5.75,10.00,14.95,10.00
4/1/19 0:00,19790,1906,LAX,SEA,816,26,1055,10,2.30,10.00,12.65,10.00
4/1/19 0:00,19790,1947,HNL,SEA,1313,-2,2205,3,,,8.05,10.00
4/1/19 0:00,19790,2107,SEA,LAX,1131,1,1415,0,8.05,10.00,0.00,10.00
4/1/19 0:00,19790,2137,SEA,LAX,1352,-5,1634,-3,8.05,10.00,5.75,10.00
4/1/19 0:00,19790,2153,SEA,LAX,755,0,1116,37,11.50,10.00,2.30,10.00
4/1/19 0:00,19790,2215,SEA,HNL,1729,-3,2050,-13,12.65,10.00,,
4/1/19 0:00,19790,2218,HNL,SEA,2210,-8,640,-30,,,5.75,10.00
4/1/19 0:00,19790,2218,SEA,JFK,735,-5,1527,-39,5.75,10.00,20.70,10.00
4/1/19 0:00,19690,21,SEA,HNL,859,-1,1247,27,12.65,10.00,,
4/1/19 0:00,19690,22,HNL,SEA,1322,2,2202,2,,,9.20,10.00
4/1/19 0:00,19790,2264,LAX,SEA,1509,-1,1728,-35,4.60,10.00,12.65,10.00
4/1/19 0:00,19790,2281,LAX,SEA,2152,71,10,45,11.50,10.00,5.75,10.00
4/1/19 0:00,19790,2377,SEA,LAX,600,0,836,-13,4.60,10.00,4.60,10.00
